ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ENS,2020-06-30,2020-08-12,704924000.0,35183000,3462797000.0,1543576000.0,90284000.0,42932054.0
ENS,2020-09-30,2020-11-10,708402000.0,35731000,3333222000.0,1435080000.0,87165000.0,43087455.0
ENS,2020-12-31,2021-02-10,751067000.0,38624000,3475228000.0,1531414000.0,45853000.0,43290403.0
ENS,2021-03-31,2021-05-26,813539000.0,33836000,3462797000.0,1543576000.0,70029000.0,43103304.0
ENS,2021-06-30,2021-08-11,814893000.0,43929000,3736646000.0,1493275000.0,-61261000.0,43537344.0
ENS,2021-09-30,2021-11-10,791395000.0,35626000,3517454000.0,1573857000.0,-35531000.0,43255832.0
ENS,2021-12-31,2022-02-08,844006000.0,36264000,3591403000.0,1508014000.0,-28888000.0,43255832.0
ENS,2022-03-31,2022-05-09,907025000.0,28092000,3736646000.0,1493275000.0,-9138000.0,41084484.0
ENS,2022-06-30,2022-08-10,898971000.0,30978000,3721911000.0,1438770000.0,-94766000.0,41352646.0
ENS,2022-09-30,2022-11-09,899437000.0,34472000,3624163000.0,1414418000.0,-14812000.0,41167622.0
ENS,2022-12-31,2023-02-07,920227000.0,44410000,3567867000.0,1531346000.0,188361000.0,41281693.0
ENS,2023-03-31,2023-05-08,989944000.0,65950000,3616674000.0,1603881000.0,112969000.0,41505059.0
ENS,2023-06-30,2023-08-09,908569000.0,66797000,3480977000.0,1683179000.0,58897000.0,41698324.0
ENS,2023-09-30,2023-11-08,901033000.0,65229000,3492993000.0,1663381000.0,92979000.0,41684634.0
ENS,2023-12-31,2024-02-07,861548000.0,76158000,3502638000.0,1730027000.0,111403000.0,41047893.0
ENS,2024-03-31,2024-05-22,910721000.0,60912000,3466006000.0,1757072000.0,109541000.0,41054905.0
ENS,2024-06-30,2024-08-07,852916000.0,70111000,3557247000.0,1811189000.0,-25734000.0,40986116.0
ENS,2024-09-30,2024-11-06,883669000.0,82266000,3951032000.0,1841596000.0,3383000.0,40863205.0
ENS,2024-12-31,2025-02-05,906152000.0,114812000,4027660000.0,1848258000.0,56790000.0,39922913.0
ENS,2025-03-31,2025-05-21,974842000.0,96546000,3971248000.0,1919488000.0,106690000.0,39982082.0
