ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ENSG,2020-06-30,2020-08-05,584699000.0,40248000,2488157000.0,717776000.0,135873000.0,55181000.0
ENSG,2020-09-30,2020-10-28,599255000.0,43060000,2464990000.0,765544000.0,88366000.0,55713000.0
ENSG,2020-12-31,2021-02-03,629029000.0,46321000,2545578000.0,818227000.0,80562000.0,56458000.0
ENSG,2021-03-31,2021-04-29,627253000.0,49206000,2512500000.0,875580000.0,19800000.0,56891000.0
ENSG,2021-06-30,2021-07-28,638536000.0,49425000,2648553000.0,928643000.0,55679000.0,57000000.0
ENSG,2021-09-30,2021-10-27,668530000.0,47281000,2813379000.0,979294000.0,79828000.0,56971000.0
ENSG,2021-12-31,2022-02-09,693142000.0,48740000,2850623000.0,1021714000.0,-47427000.0,57022000.0
ENSG,2022-03-31,2022-04-28,713445000.0,50340000,3044559000.0,1072013000.0,13457000.0,56839000.0
ENSG,2022-06-30,2022-08-01,732486000.0,57691000,3124671000.0,1120693000.0,69447000.0,56871000.0
ENSG,2022-09-30,2022-10-26,770005000.0,56179000,3265274000.0,1181748000.0,88324000.0,56761000.0
ENSG,2022-12-31,2023-02-02,809532000.0,60471000,3452022000.0,1248800000.0,22370000.0,57013000.0
ENSG,2023-03-31,2023-04-26,886841000.0,59852000,3862238000.0,1319754000.0,21706000.0,57098000.0
ENSG,2023-06-30,2023-07-27,921345000.0,63993000,3952356000.0,1393393000.0,94780000.0,57260000.0
ENSG,2023-09-30,2023-10-25,940791000.0,63863000,4081981000.0,1465442000.0,97599000.0,57337000.0
ENSG,2023-12-31,2024-02-01,980378000.0,21691000,4177541000.0,1497317000.0,56401000.0,57597000.0
ENSG,2024-03-31,2024-05-01,1010172000.0,68835000,4308410000.0,1583467000.0,5676000.0,57921000.0
ENSG,2024-06-30,2024-07-25,1036285000.0,71007000,4437338000.0,1663071000.0,41739000.0,58013000.0
ENSG,2024-09-30,2024-10-24,1081776000.0,78444000,4629159000.0,1750947000.0,91845000.0,58444000.0
ENSG,2024-12-31,2025-02-05,1132252000.0,79687000,4669356000.0,1840428000.0,49686000.0,58582000.0
ENSG,2025-03-31,2025-04-29,1173041000.0,80277000,4759846000.0,1930157000.0,29294000.0,58500000.0
