ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
EPD,2020-06-30,2020-08-10,5751000000.0,1034700000,61944500000.0,25941400000.0,288700000.0,2201900000.0
EPD,2020-09-30,2020-11-06,6922000000.0,1052600000,63736199999.0,26153800000.0,406400000.0,2201400000.0
EPD,2020-12-31,2021-03-01,7044500000.0,338600000,64106700000.0,25426700000.0,987600000.0,2201500000.0
EPD,2021-03-31,2021-05-07,9155000000.0,1342000000,64983500000.0,26119500000.0,1350000000.0,2203300000.0
EPD,2021-06-30,2021-08-09,9450000000.0,1113000000,64805100000.0,25896100000.0,1416000000.0,2203300000.0
EPD,2021-09-30,2021-11-08,10832000000.0,1154000000,67319900000.0,26033900000.0,1873000000.0,2200400000.0
EPD,2021-12-31,2022-02-28,11370000000.0,1029000000,67526000000.0,26488000000.0,-195000000.0,2200400000.0
EPD,2022-03-31,2022-05-10,13008000000.0,1297000000,70319000000.0,26706000000.0,1807000000.0,2199000000.0
EPD,2022-06-30,2022-08-09,16060000000.0,1412000000,70350000000.0,27026000000.0,1740000000.0,2199000000.0
EPD,2022-09-30,2022-11-08,15468000000.0,1361000000,68437000000.0,27489000000.0,584000000.0,2201000000.0
EPD,2022-12-31,2023-02-28,13650000000.0,1420000000,68108000000.0,27751000000.0,2066000000.0,2199000000.0
EPD,2023-03-31,2023-05-10,12444000000.0,1392000000,67325000000.0,27908000000.0,1267000000.0,2195000000.0
EPD,2023-06-30,2023-08-09,10651000000.0,1254000000,67729000000.0,28071000000.0,977000000.0,2196000000.0
EPD,2023-09-30,2023-11-09,11998000000.0,1319000000,69804000000.0,28271000000.0,1088000000.0,2194000000.0
EPD,2023-12-31,2024-02-28,14622000000.0,1568000000,70982000000.0,28808000000.0,1013000000.0,2191000000.0
EPD,2024-03-31,2024-05-09,14760000000.0,1457000000,71373000000.0,28526000000.0,1005000000.0,2193000000.0
EPD,2024-06-30,2024-08-09,13483000000.0,1406000000,73561000000.0,28846000000.0,698000000.0,2194000000.0
EPD,2024-09-30,2024-11-08,13775000000.0,1418000000,75062000000.0,29208000000.0,840000000.0,2192000000.0
EPD,2024-12-31,2025-02-28,14201000000.0,1620000000,77168000000.0,29639000000.0,1042000000.0,2189000000.0
EPD,2025-03-31,2025-05-07,15417000000.0,1392000000,75406000000.0,29825000000.0,965000000.0,2191000000.0
