ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
EQIX,2020-06-30,2020-07-31,1470121000.0,133304000,27792630000.0,10388258000.0,46544000.0,87901000.0
EQIX,2020-09-30,2020-10-30,1519767000.0,66687000,26436714000.0,10555966000.0,-75018000.0,89519000.0
EQIX,2020-12-31,2021-02-19,1564115000.0,50994000,27006841000.0,10634118000.0,110495000.0,90076000.0
EQIX,2021-03-31,2021-04-30,1596064000.0,156362000,27316990000.0,10576675000.0,-226177000.0,89842000.0
EQIX,2021-06-30,2021-07-30,1657919000.0,68339000,27930362000.0,10646472000.0,-126935000.0,90297000.0
EQIX,2021-09-30,2021-11-04,1675176000.0,152216000,27774131000.0,10568573000.0,53751000.0,90467000.0
EQIX,2021-12-31,2022-02-18,1706378000.0,123274000,27918698000.0,10881764000.0,101803000.0,91262000.0
EQIX,2022-03-31,2022-04-29,1734447000.0,147453000,28023233000.0,10942810000.0,360922000.0,90752000.0
EQIX,2022-06-30,2022-07-29,1817154000.0,216322000,29038214000.0,10629594000.0,342518000.0,91262000.0
EQIX,2022-09-30,2022-11-04,1840659000.0,211807000,29325866000.0,11154093000.0,259483000.0,92135000.0
EQIX,2022-12-31,2023-02-17,1870740000.0,129418000,30310742000.0,11505832000.0,-833923000.0,93163000.0
EQIX,2023-03-31,2023-05-05,1998000000.0,263000000,31274198000.0,12028859000.0,194000000.0,93340000.0
EQIX,2023-06-30,2023-08-04,2019000000.0,207000000,31566945000.0,12049000000.0,103000000.0,93857000.0
EQIX,2023-09-30,2023-10-27,2061000000.0,276000000,31684602000.0,11911559000.0,60000000.0,94168000.0
EQIX,2023-12-31,2024-02-16,2110000000.0,227000000,32651000000.0,12514000000.0,-228000000.0,94671000.0
EQIX,2024-03-31,2024-05-08,2127000000.0,233000000,31937000000.0,12324000000.0,-126000000.0,95156000.0
EQIX,2024-06-30,2024-08-07,2159000000.0,301000000,32854000000.0,12303000000.0,403000000.0,95166000.0
EQIX,2024-09-30,2024-10-30,2201000000.0,295000000,35438000000.0,13612000000.0,-128000000.0,95731000.0
EQIX,2024-12-31,2025-02-12,2261000000.0,-16000000,35085000000.0,13552000000.0,-45000000.0,97255000.0
EQIX,2025-03-31,2025-04-30,2225000000.0,343000000,36079000000.0,13913000000.0,42000000.0,97887000.0
