ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
EVCM,2022-03-31,2022-05-09,143576000.0,-13309000,1651393000.0,978533000.0,11965000.0,195362351.0
EVCM,2022-06-30,2022-08-09,157246000.0,-12881000,1633287000.0,963511000.0,10472000.0,195650334.0
EVCM,2022-09-30,2022-11-10,158126000.0,-15853000,1587855000.0,929136000.0,13020000.0,194542764.0
EVCM,2022-12-31,2023-03-16,161798000.0,-17773000,1591728000.0,906693000.0,26779000.0,192944423.0
EVCM,2023-03-31,2023-05-10,161136000.0,-20775000,1550573000.0,862990000.0,12224000.0,190042673.0
EVCM,2023-06-30,2023-08-08,170052000.0,-896000,1544164000.0,859357000.0,27721000.0,188277209.0
EVCM,2023-09-30,2023-11-07,174741000.0,-614000,1541299000.0,862156000.0,26502000.0,188805421.0
EVCM,2023-12-31,2024-03-14,169440000.0,-23335000,1518064000.0,826036000.0,35121000.0,188630265.0
EVCM,2024-03-31,2024-05-09,137852000.0,-16324000,1482516000.0,800686000.0,12895000.0,186635095.0
EVCM,2024-06-30,2024-08-06,140523000.0,-3376000,1467076000.0,784092000.0,23285000.0,185182906.0
EVCM,2024-09-30,2024-11-12,140106000.0,-9156000,1451134000.0,770743000.0,27362000.0,184146958.0
EVCM,2024-12-31,2025-03-13,280284000.0,-12233000,1421268000.0,750826000.0,48159000.0,183625877.0
EVCM,2025-03-31,2025-05-08,142273000.0,-7713000,1414100000.0,739569000.0,30185000.0,185222240.0
