ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
EVER,2020-06-30,2020-08-07,78302000.0,-2808000,100831000.0,60628000.0,2995000.0,27136000.0
EVER,2020-09-30,2020-11-06,89977000.0,-3184000,116235000.0,67223000.0,5158000.0,27526000.0
EVER,2020-12-31,2021-03-01,97292000.0,-3768000,129050000.0,70982000.0,-4349000.0,28014000.0
EVER,2021-03-31,2021-05-06,103822000.0,-3801000,135669000.0,75988000.0,2743000.0,28431000.0
EVER,2021-06-30,2021-08-09,105063000.0,-1881000,138843000.0,81655000.0,7182000.0,28895000.0
EVER,2021-09-30,2021-11-08,107563000.0,-5272000,148547000.0,86048000.0,1848000.0,29277000.0
EVER,2021-12-31,2022-02-25,102067000.0,-8480000,143607000.0,85125000.0,-7446000.0,29749000.0
EVER,2022-03-31,2022-05-06,110681000.0,-5715000,170528000.0,102442000.0,-4526000.0,30529000.0
EVER,2022-06-30,2022-08-04,101915000.0,-3756000,160989000.0,106252000.0,-4836000.0,31519000.0
EVER,2022-09-30,2022-11-03,103223000.0,-6451000,163828000.0,107242000.0,-4750000.0,32008000.0
EVER,2022-12-31,2023-02-27,88308000.0,-8494000,156519000.0,107486000.0,-5969000.0,32396000.0
EVER,2023-03-31,2023-05-09,109220000.0,-2529000,160437000.0,111636000.0,-2244000.0,32892000.0
EVER,2023-06-30,2023-08-08,67985000.0,-13193000,145055000.0,105538000.0,2333000.0,33129000.0
EVER,2023-09-30,2023-11-07,55011000.0,-29217000,113986000.0,81871000.0,-16375000.0,33549000.0
EVER,2023-12-31,2024-02-27,55705000.0,-6348000,110925000.0,80907000.0,-1644000.0,33350.0
EVER,2024-03-31,2024-05-07,91065000.0,1907000,135401000.0,88323000.0,9670000.0,35608.0
EVER,2024-06-30,2024-08-06,117140000.0,6402000,157952000.0,100839000.0,11526000.0,36698.0
EVER,2024-09-30,2024-11-05,144530000.0,11554000,180539000.0,117702000.0,22125000.0,37214.0
EVER,2024-12-31,2025-02-25,147455000.0,12306000,210530000.0,135368000.0,19131000.0,146474480.0
EVER,2025-03-31,2025-05-07,166632000.0,7990000,232145000.0,149500000.0,22173000.0,37667.0
