ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
EXC,2020-06-30,2020-08-04,7322000000.0,521000000,126313000000.0,34871000000.0,-157000000.0,1368352000.0
EXC,2020-09-30,2020-11-03,8853000000.0,501000000,127767000000.0,35103000000.0,-245000000.0,1369754000.0
EXC,2020-12-31,2021-02-24,-8262000000.0,359000000,129317000000.0,34868000000.0,-886000000.0,1372558000.0
EXC,2021-03-31,2021-05-05,4632000000.0,-289000000,130000000000.0,34313000000.0,-2721000000.0,1369754000.0
EXC,2021-06-30,2021-08-04,4020000000.0,401000000,129396000000.0,34500000000.0,543000000.0,1369754000.0
EXC,2021-09-30,2021-11-03,4863000000.0,1203000000,132621000000.0,34259000000.0,-910000000.0,980000000.0
EXC,2021-12-31,2022-02-25,4424000000.0,391000000,133013000000.0,34795000000.0,-8492000000.0,980000000.0
EXC,2022-03-31,2022-05-09,5327000000.0,597000000,92698000000.0,23491000000.0,-124000000.0,980000000.0
EXC,2022-06-30,2022-08-03,4239000000.0,465000000,92295000000.0,23656000000.0,-127000000.0,980000000.0
EXC,2022-09-30,2022-09-03,4845000000.0,676000000,93455000000.0,24582000000.0,-2283000000.0,980000000.0
EXC,2022-12-31,2023-02-14,4666000000.0,432000000,95349000000.0,24744000000.0,-146000000.0,980000000.0
EXC,2023-03-31,2023-05-03,5563000000.0,669000000,96925000000.0,25066000000.0,-1183000000.0,996000000.0
EXC,2023-06-30,2023-08-02,4818000000.0,343000000,98080000000.0,25079000000.0,-554000000.0,996000000.0
EXC,2023-09-30,2023-11-02,5980000000.0,700000000,99259000000.0,25470000000.0,-328000000.0,997000000.0
EXC,2023-12-31,2024-02-21,5367000000.0,617000000,101856000000.0,25755000000.0,-615000000.0,999000000.0
EXC,2024-03-31,2024-05-02,6043000000.0,654000000,103211000000.0,26061000000.0,-780000000.0,1001000000.0
EXC,2024-06-30,2024-08-01,5361000000.0,448000000,105113000000.0,26152000000.0,-245000000.0,1001000000.0
EXC,2024-09-30,2024-10-30,6154000000.0,707000000,106070000000.0,26622000000.0,24000000.0,1004000000.0
