ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
EXEL,2020-06-30,2020-07-06,259479000.0,66821000,,,,318144000.0
EXEL,2020-09-30,2020-10-05,231092000.0,-32040000,,,,309116000.0
EXEL,2020-12-31,2021-02-11,270052000.0,28388000,2137333000.0,1879113000.0,19003000.0,328905000.0
EXEL,2021-03-31,2021-05-06,270230000.0,1601000,2190542000.0,1911187000.0,25987000.0,321287000.0
EXEL,2021-06-30,2021-08-05,385177000.0,96092000,2367271000.0,2043077000.0,161290000.0,322943000.0
EXEL,2021-09-30,2021-11-02,328423000.0,38204000,2447741000.0,2112447000.0,68810000.0,322022000.0
EXEL,2021-12-31,2022-02-18,451140000.0,95166000,2616239000.0,2210615000.0,80492000.0,321836000.0
EXEL,2022-03-31,2022-05-10,355980000.0,68573000,2654118000.0,2293851000.0,142110000.0,323187000.0
EXEL,2022-06-30,2022-08-09,419427000.0,70672000,2881404000.0,2391260000.0,23793000.0,323187000.0
EXEL,2022-09-30,2022-11-01,411738000.0,73210000,2961372000.0,2491402000.0,105028000.0,325066000.0
EXEL,2022-12-31,2023-02-07,423917000.0,-30173000,3071489000.0,2488427000.0,-46773000.0,324556000.0
EXEL,2023-03-31,2023-05-09,408788000.0,40028000,3143359000.0,2555136000.0,35884000.0,326279000.0
EXEL,2023-06-30,2023-08-01,469848000.0,81178000,3142468000.0,2527938000.0,113541000.0,327305000.0
EXEL,2023-09-30,2023-11-01,471920000.0,1041000,2976910000.0,2347620000.0,145994000.0,319247000.0
EXEL,2023-12-31,2024-02-06,479652000.0,85518000,2942357000.0,2263912000.0,-125064000.0,313025000.0
EXEL,2024-03-31,2024-04-30,425226000.0,37317000,2803752000.0,2128008000.0,59131000.0,305530000.0
EXEL,2024-06-30,2024-08-06,637178000.0,226116000,2773121000.0,2119734000.0,86228000.0,293974000.0
EXEL,2024-09-30,2024-10-29,539542000.0,117973000,2960276000.0,2275419000.0,289891000.0,291478000.0
EXEL,2024-12-31,2025-02-11,566755000.0,139861000,2947690000.0,2244203000.0,198536000.0,293546000.0
EXEL,2025-03-31,2025-05-13,555447000.0,159616000,2837247000.0,2131024000.0,208485000.0,288177000.0
