ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
EXPD,2020-06-30,2020-08-06,2411078000.0,183869000,3810177000.0,2161598000.0,164607000.0,169290000.0
EXPD,2020-09-30,2020-11-04,2348713000.0,191307000,4358554000.0,2504473000.0,152390000.0,170735000.0
EXPD,2020-12-31,2021-02-19,2980835000.0,198620000,4927503000.0,2663227000.0,131536000.0,172109000.0
EXPD,2021-03-31,2021-05-06,3198820000.0,287220000,5454997000.0,2878650000.0,347438000.0,171551000.0
EXPD,2021-06-30,2021-08-05,3609093000.0,316372000,5953171000.0,3083651000.0,23758000.0,171531000.0
EXPD,2021-09-30,2021-11-04,4319261000.0,359068000,7076383000.0,3420592000.0,167501000.0,171565000.0
EXPD,2021-12-31,2022-03-15,5396343000.0,452832000,7609929000.0,3497991000.0,293550000.0,171613000.0
EXPD,2022-03-31,2022-05-09,4664298000.0,346109000,7955993000.0,3849331000.0,399534000.0,170293000.0
EXPD,2022-06-30,2022-08-04,4603312000.0,377805000,7361142000.0,3535263000.0,520488000.0,166474000.0
EXPD,2022-09-30,2022-11-08,4362146000.0,414209000,6607526000.0,3491393000.0,654456000.0,163250000.0
EXPD,2022-12-31,2023-03-01,3441528000.0,219276000,5590434000.0,3113535000.0,468373000.0,157691000.0
EXPD,2023-03-31,2023-05-04,2592589000.0,226011000,5332577000.0,3150368000.0,536286000.0,155472000.0
EXPD,2023-06-30,2023-08-08,2239752000.0,196800000,4564040000.0,2558104000.0,147965000.0,151563000.0
EXPD,2023-09-30,2023-11-08,2190001000.0,171353000,4578121000.0,2491474000.0,181987000.0,148001000.0
EXPD,2023-12-31,2024-02-23,2277768000.0,158719000,4523809000.0,2391413000.0,147639000.0,145708000.0
EXPD,2024-03-31,2024-05-09,2206678000.0,169152000,4488268000.0,2197665000.0,246723000.0,144125000.0
EXPD,2024-06-30,2024-08-08,2439001000.0,175469000,4788341000.0,2178427000.0,118826000.0,141716000.0
EXPD,2024-09-30,2024-11-05,3000131000.0,229574000,5170917000.0,2359170000.0,77681000.0,141027000.0
EXPD,2024-12-31,2025-02-21,2954705000.0,235878000,4754458000.0,2225784000.0,239665000.0,140020000.0
EXPD,2025-03-31,2025-05-08,2666419000.0,203795000,4756650000.0,2287503000.0,329470000.0,138435000.0
