ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
FARM,2020-06-30,2020-09-11,81083000.0,-9718000,392699000.0,111913000.0,-8312000.0,16490769.0
FARM,2020-09-30,2020-11-06,97270000.0,-6270000,355021000.0,103628000.0,4845000.0,17420442.0
FARM,2020-12-31,2021-02-05,104571000.0,-17725000,356083000.0,96193000.0,-16378000.0,17531521.0
FARM,2021-03-31,2021-05-07,93152000.0,-13684000,340261000.0,81989000.0,-2742000.0,17756619.0
FARM,2021-06-30,2021-09-10,-33082000.0,-3971000,338006000.0,104959000.0,1911000.0,17569026.0
FARM,2021-09-30,2021-11-05,108362000.0,-2424000,345736000.0,108033000.0,-11490000.0,17969694.0
FARM,2021-12-31,2022-02-04,118445000.0,-5420000,346658000.0,105310000.0,-4327000.0,17969694.0
FARM,2022-03-31,2022-05-06,119398000.0,-4040000,358789000.0,100706000.0,-3154000.0,18106151.0
FARM,2022-06-30,2022-09-02,-31422000.0,-3777000,350071000.0,104748000.0,-8038000.0,18754781.0
FARM,2022-09-30,2022-11-04,79826000.0,-7374000,339278000.0,96849000.0,-19492000.0,18948453.0
FARM,2022-12-31,2023-02-08,88919000.0,-13608000,338994000.0,82938000.0,13128000.0,18723957.0
FARM,2023-03-31,2023-05-10,85723000.0,-11423000,325047000.0,73843000.0,-11671000.0,19923577.0
FARM,2023-06-30,2023-09-12,85496000.0,-46776000,187781000.0,38112000.0,-4772000.0,20891981.0
FARM,2023-09-30,2023-11-09,81888000.0,-1307000,178110000.0,37798000.0,-12884000.0,20366017.0
FARM,2023-12-31,2024-02-08,89453000.0,2704000,181846000.0,43261000.0,-11627000.0,20917562.0
FARM,2024-03-31,2024-05-09,85358000.0,-682000,179101000.0,43145000.0,-3221000.0,21364381.0
FARM,2024-06-30,2024-09-12,84396000.0,-4592000,185213000.0,45549000.0,-2352000.0,21293620.0
FARM,2024-09-30,2024-11-07,85066000.0,-5002000,181983000.0,40926000.0,-811000.0,21263245.0
FARM,2024-12-31,2025-02-06,90021000.0,210000,179119000.0,41490000.0,660000.0,22357699.0
FARM,2025-03-31,2025-05-08,82054000.0,-4976000,163159000.0,37264000.0,-653000.0,21446194.0
