ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
FARO,2020-06-30,2020-08-04,60564000.0,-8932000,453307000.0,308561000.0,-622000.0,17747739.0
FARO,2020-09-30,2020-10-28,70736000.0,-3024000,451726000.0,313330000.0,-6563000.0,17797390.0
FARO,2020-12-31,2021-02-17,92953000.0,27408000,525592000.0,360303000.0,8682000.0,18543203.0
FARO,2021-03-31,2021-04-28,76331000.0,-3221000,499958000.0,350783000.0,-11833000.0,18076410.0
FARO,2021-06-30,2021-07-28,82110000.0,-1176000,503581000.0,357362000.0,-2548000.0,18229420.0
FARO,2021-09-30,2021-10-27,79169000.0,-3855000,500587000.0,356771000.0,-6035000.0,18194960.0
FARO,2021-12-31,2022-02-16,100204000.0,-31712000,479740000.0,326459000.0,-5000000.0,18279050.0
FARO,2022-03-31,2022-04-27,76656000.0,-9687000,467903000.0,316739000.0,-9479000.0,18204386.0
FARO,2022-06-30,2022-08-03,79917000.0,-8574000,442949000.0,298396000.0,2738000.0,18266747.0
FARO,2022-09-30,2022-11-02,85332000.0,-6261000,445227000.0,299464000.0,-16393000.0,18436615.0
FARO,2022-12-31,2023-02-15,103859000.0,-2235000,473347000.0,311049000.0,-18660000.0,18365016.0
FARO,2023-03-31,2023-05-08,84967000.0,-21164000,528728000.0,296313000.0,-21852000.0,18816110.0
FARO,2023-06-30,2023-08-02,88211000.0,-28245000,502283000.0,271286000.0,717000.0,18920675.0
FARO,2023-09-30,2023-11-01,86813000.0,-8756000,485104000.0,259092000.0,-6532000.0,18953251.0
FARO,2023-12-31,2024-02-28,98840000.0,1588000,504692000.0,268606000.0,14748000.0,18981076.0
FARO,2024-03-31,2024-05-01,84244000.0,-7267000,492304000.0,261980000.0,3810000.0,19046855.0
FARO,2024-06-30,2024-08-08,82085000.0,-524000,481081000.0,256596000.0,1897000.0,19293778.0
FARO,2024-09-30,2024-11-06,82563000.0,-289000,489630000.0,255518000.0,-733000.0,19266217.0
FARO,2024-12-31,2025-02-24,93535000.0,-986000,483005000.0,249610000.0,12455000.0,18999354.0
FARO,2025-03-31,2025-04-24,82863000.0,906000,495029000.0,260167000.0,2237000.0,19732364.0
