ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
FIX,2020-06-30,2020-07-27,743468000.0,39495000,1675443000.0,628433000.0,135512000.0,36737000.0
FIX,2020-09-30,2020-10-26,714099000.0,50088000,1677969000.0,668126000.0,48206000.0,36750000.0
FIX,2020-12-31,2021-02-25,698961000.0,42840000,1757355000.0,696429000.0,65818000.0,36560000.0
FIX,2021-03-31,2021-04-28,669761000.0,26491000,1715530000.0,723103000.0,80333000.0,36499000.0
FIX,2021-06-30,2021-07-28,713895000.0,32965000,1754950000.0,752012000.0,20504000.0,36499000.0
FIX,2021-09-30,2021-10-27,833896000.0,46297000,1951334000.0,771789000.0,37755000.0,36434000.0
FIX,2021-12-31,2022-02-23,856084000.0,37595000,2209114000.0,805666000.0,22330000.0,36434000.0
FIX,2022-03-31,2022-04-27,885216000.0,86762000,2308413000.0,878408000.0,55593000.0,36434000.0
FIX,2022-06-30,2022-07-27,1017948000.0,42246000,2439622000.0,896845000.0,34043000.0,36073000.0
FIX,2022-09-30,2022-10-26,1120012000.0,61515000,2549473000.0,951132000.0,47246000.0,35972000.0
FIX,2022-12-31,2023-02-22,1117188000.0,55424000,2597478000.0,999923000.0,119148000.0,37257000.0
FIX,2023-03-31,2023-04-26,1174640000.0,57216000,2839471000.0,1053490000.0,111011000.0,35907000.0
FIX,2023-06-30,2023-07-26,1296430000.0,69476000,2915117000.0,1111464000.0,102264000.0,35906000.0
FIX,2023-09-30,2023-10-26,1378124000.0,105125000,3140619000.0,1207162000.0,188804000.0,35917000.0
FIX,2023-12-31,2024-02-22,1357566000.0,91581000,3305579000.0,1277829000.0,148602000.0,35850000.0
FIX,2024-03-31,2024-04-25,1537016000.0,96319000,3902829000.0,1372536000.0,122619000.0,35828000.0
FIX,2024-06-30,2024-07-25,1810290000.0,134009000,4213984000.0,1482294000.0,167289000.0,35828000.0
FIX,2024-09-30,2024-10-24,1812366000.0,146235000,4412765000.0,1587722000.0,281902000.0,35755000.0
FIX,2024-12-31,2025-02-20,1867804000.0,145870000,4711088000.0,1704676000.0,171714000.0,35689000.0
FIX,2025-03-31,2025-04-24,1831286000.0,169289000,4569218000.0,1777013000.0,-109063000.0,35605000.0
