ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
FNCH,2020-12-31,2021-03-31,1807000.0,-13091000,165338000.0,137336000.0,-12428000.0,
FNCH,2021-03-31,2021-05-13,3553000.0,-13981000,265951000.0,239457000.0,-24038000.0,
FNCH,2021-06-30,2021-08-10,2830000.0,-15169000,250328000.0,228193000.0,-26514000.0,
FNCH,2021-09-30,2021-11-10,11343000.0,-9955000,232979000.0,219801000.0,-16713000.0,1579925.0
FNCH,2021-12-31,2022-03-31,806000.0,-19055000,225369000.0,202224000.0,-15789000.0,1584508.0
FNCH,2022-03-31,2022-05-16,354000.0,-24567000,204633000.0,179791000.0,-26555000.0,1582714.0
FNCH,2022-06-30,2022-08-11,361000.0,-22700000,228301000.0,159092000.0,-16733000.0,1585978.0
FNCH,2022-09-30,2022-11-10,138000.0,-40371000,187968000.0,120866000.0,-19422000.0,1590938.0
FNCH,2022-12-31,2023-03-23,8000.0,-27008000,162939000.0,95711000.0,-14323000.0,1598706.0
FNCH,2023-03-31,2023-05-10,107000.0,-62347000,79040000.0,32952000.0,-13395000.0,1601249.0
FNCH,2023-06-30,2023-08-10,,-6950000,66857000.0,27894000.0,-10427000.0,1604795.0
FNCH,2023-09-30,2023-11-08,,-2416000,59493000.0,25813000.0,-5281000.0,1604967.0
FNCH,2023-12-31,2024-03-25,0.0,-3041000,55373000.0,22886000.0,-3757000.0,1607185.0
FNCH,2024-03-31,2024-05-10,,-3876000,50092000.0,19038000.0,,1605763.0
FNCH,2024-06-30,2024-08-13,,-4834000,45576000.0,14219000.0,,1605763.0
