ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
FNKO,2020-06-30,2020-08-06,98099000.0,-10585000,728636000.0,283632000.0,-11459000.0,35033000.0
FNKO,2020-09-30,2020-11-05,191229000.0,9796000,762783000.0,302685000.0,25109000.0,35904000.0
FNKO,2020-12-31,2021-03-11,226509000.0,8876000,763590000.0,322445000.0,44616000.0,37199000.0
FNKO,2021-03-31,2021-05-06,189177000.0,6514000,769198000.0,333099000.0,33581000.0,37839000.0
FNKO,2021-06-30,2021-08-05,236110000.0,13813000,846702000.0,355398000.0,27722000.0,40602000.0
FNKO,2021-09-30,2021-11-04,267733000.0,11901000,914907000.0,373874000.0,55000.0,41796000.0
FNKO,2021-12-31,2022-03-03,336273000.0,11672000,967503000.0,396558000.0,-1755000.0,46947000.0
FNKO,2022-03-31,2022-05-05,308343000.0,9882000,965331000.0,409748000.0,-42137000.0,42528956.0
FNKO,2022-06-30,2022-08-04,315716000.0,14672000,1138680000.0,419963000.0,-21715000.0,53824000.0
FNKO,2022-09-30,2022-11-03,365607000.0,9630000,1136884000.0,432485000.0,-47738000.0,49686000.0
FNKO,2022-12-31,2023-03-01,333040000.0,-42219000,1091145000.0,389689000.0,12308000.0,32181044.0
FNKO,2023-03-31,2023-05-04,251878000.0,-55311000,1058594000.0,333329000.0,-43016000.0,47248000.0
FNKO,2023-06-30,2023-08-03,240028000.0,-72998000,897561000.0,262752000.0,8268000.0,47428000.0
FNKO,2023-09-30,2023-11-02,312944000.0,-15009000,880043000.0,242766000.0,1020000.0,48237000.0
FNKO,2023-12-31,2024-03-07,291236000.0,-10761000,798585000.0,238040000.0,29532000.0,50415000.0
FNKO,2024-03-31,2024-05-09,215699000.0,-22663000,725472000.0,217559000.0,17104000.0,50706000.0
FNKO,2024-06-30,2024-08-08,247657000.0,5115000,737750000.0,227246000.0,36784000.0,52605000.0
FNKO,2024-09-30,2024-11-07,292765000.0,4330000,783574000.0,240432000.0,-4188000.0,53428000.0
FNKO,2024-12-31,2025-03-13,293729000.0,-1500000,707254000.0,236353000.0,47787000.0,52836000.0
FNKO,2025-03-31,2025-05-08,190739000.0,-27588000,648401000.0,214155000.0,-28814000.0,53530000.0
