ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
FOLD,2020-06-30,2020-08-10,62353000.0,-52492000,701451000.0,360953000.0,-34588000.0,257973329.0
FOLD,2020-09-30,2020-11-05,67437000.0,-64011000,900542000.0,320269000.0,-42292000.0,259161799.0
FOLD,2020-12-31,2021-03-01,70571000.0,-71401000,886520000.0,286380000.0,-50889000.0,261366144.0
FOLD,2021-03-31,2021-05-10,66402000.0,-65664000,810034000.0,250896000.0,-73222000.0,264369317.0
FOLD,2021-06-30,2021-08-05,77413000.0,-51225000,786892000.0,213910000.0,-36289000.0,264369317.0
FOLD,2021-09-30,2021-11-09,79545000.0,-50294000,956675000.0,376629000.0,-24590000.0,267464637.0
FOLD,2021-12-31,2022-02-24,82154000.0,-83277000,905140000.0,307369000.0,-61921000.0,267464637.0
FOLD,2022-03-31,2022-05-10,78715000.0,-85260000,826938000.0,238617000.0,-59186000.0,267464637.0
FOLD,2022-06-30,2022-08-04,80731000.0,-62157000,800589000.0,173425000.0,-16217000.0,291970562.0
FOLD,2022-09-30,2022-11-07,81691000.0,-33286000,759528000.0,132565000.0,-11763000.0,289223709.0
FOLD,2022-12-31,2023-03-01,88096000.0,-55865000,724167000.0,122964000.0,-81506000.0,307569884.0
FOLD,2023-03-31,2023-05-10,86270000.0,-52932000,700519000.0,102573000.0,-20011000.0,291336750.0
FOLD,2023-06-30,2023-08-08,94503000.0,-43232000,730093000.0,111581000.0,-10398000.0,292797002000.0
FOLD,2023-09-30,2023-11-08,103501000.0,-21577000,764084000.0,133237000.0,-39912000.0,295759435.0
FOLD,2023-12-31,2024-02-28,115082000.0,-33843000,777880000.0,160103000.0,15137000.0,295164515.0
FOLD,2024-03-31,2024-05-09,110403000.0,-48419000,721789000.0,130623000.0,-31506000.0,302903009.0
FOLD,2024-06-30,2024-08-08,126669000.0,-15697000,749484000.0,132452000.0,21593000.0,303773922.0
FOLD,2024-09-30,2024-11-06,141517000.0,-6729000,786557000.0,178754000.0,-23327000.0,304690596.0
FOLD,2024-12-31,2025-02-19,149706000.0,14739000,785033000.0,193974000.0,-4204000.0,306154481.0
FOLD,2025-03-31,2025-05-01,125249000.0,-21686000,789839000.0,193558000.0,7546000.0,307689207.0
