ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
FORD,2022-12-31,2023-02-14,9752684.0,-430275,21858201.0,5860087.0,-193716.0,1006119.0
FORD,2023-03-31,2023-05-12,9738804.0,-870948,20287793.0,5003998.0,73907.0,1006119.0
FORD,2023-06-30,2023-08-14,8707177.0,-536744,19243971.0,4484048.0,565450.0,1006119.0
FORD,2023-09-30,2023-12-21,8489642.0,-1898690,17386142.0,2616261.0,459305.0,1385921.0
FORD,2023-12-31,2024-02-14,7151951.0,-354220,16343707.0,2312852.0,96318.0,1006119.0
FORD,2024-03-31,2024-05-10,5070920.0,-553214,15191460.0,1769867.0,-520628.0,1006119.0
FORD,2024-06-30,2024-08-14,5036232.0,-399585,15226366.0,1390541.0,426797.0,1101069.0
FORD,2024-09-30,2024-12-27,4741849.0,-643568,14768356.0,2967034.0,452129.0,1290970.0
FORD,2024-12-31,2025-02-13,4624446.0,-708068,13492305.0,2279297.0,-439701.0,1101069.0
FORD,2025-03-31,2025-05-14,3122936.0,-1451608,12338296.0,3578807.0,-539047.0,1101069.0
