ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
FSII,2021-03-31,2021-05-10,,-4523000,202959356.0,195675295.0,,
FSII,2021-06-30,2021-08-16,,-8136000,202246887.0,193509383.0,,
FSII,2021-09-30,2021-11-12,3000.0,-11512000,201832718.0,192291466.0,,
FSII,2021-12-31,2022-03-29,,-14347000,275259000.0,266294000.0,,
FSII,2022-03-31,2022-05-10,,-21440000,255144000.0,246381000.0,,
FSII,2022-06-30,2022-08-15,,-27637000,233853000.0,222632000.0,,
FSII,2022-09-30,2022-11-07,959000.0,-23335000,214041000.0,202013000.0,,
FSII,2022-12-31,2023-03-14,,-24222000,200621000.0,180196000.0,,
FSII,2023-03-31,2023-05-05,,-17805000,176145000.0,164730000.0,,
FSII,2023-06-30,2023-08-04,,-10775000,157310000.0,155385000.0,,
