ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
FSP,2020-06-30,2020-08-04,60808000.0,-2075000,1835435000.0,746003000.0,-4739000.0,107287000.0
FSP,2020-09-30,2020-11-03,62247000.0,-1679000,1840021000.0,737465000.0,11610000.0,107328000.0
FSP,2020-12-31,2021-02-16,59810000.0,37440000,1793184000.0,768091000.0,-60586000.0,107328000.0
FSP,2021-03-31,2021-05-04,59039000.0,-6460000,1789433000.0,755584000.0,-14377000.0,107328000.0
FSP,2021-06-30,2021-08-03,56145000.0,16149000,1600615000.0,766685000.0,-203338000.0,107359000.0
FSP,2021-09-30,2021-11-08,50802000.0,4456000,1506529000.0,755073000.0,-51717000.0,106905000.0
FSP,2021-12-31,2022-02-15,43372000.0,78572000,1364173000.0,783203000.0,-220171000.0,107620000.0
FSP,2022-03-31,2022-05-03,42264000.0,-4158000,1337120000.0,769886000.0,-19724000.0,103691000.0
FSP,2022-06-30,2022-08-02,41304000.0,-9110000,1331719000.0,754032000.0,-12006000.0,103193000.0
FSP,2022-09-30,2022-11-01,40836000.0,17246000,1262070000.0,772561000.0,-65880000.0,103236000.0
FSP,2022-12-31,2023-02-14,41211000.0,-2884000,1241666000.0,768736000.0,4029000.0,103232000.0
FSP,2023-03-31,2023-05-02,37767000.0,2406000,1213682000.0,769295000.0,-16047000.0,103236000.0
FSP,2023-06-30,2023-08-01,36266000.0,-8420000,1199309000.0,759094000.0,-2969000.0,103330000.0
FSP,2023-09-30,2023-11-07,36903000.0,-45671000,1151773000.0,711326000.0,11551000.0,103430000000.0
FSP,2023-12-31,2024-02-26,34771000.0,3575000,1169330000.0,712805000.0,-91580000.0,103357000.0
FSP,2024-03-31,2024-04-30,31225000.0,-7552000,1038963000.0,703864000.0,-30300000.0,103430000.0
FSP,2024-06-30,2024-07-30,30830000.0,-21023000,1012527000.0,682077000.0,-4457000.0,103477000.0
FSP,2024-09-30,2024-10-29,29682000.0,-15622000,981513000.0,665419000.0,-7496000.0,103567000.0
FSP,2024-12-31,2025-02-11,28375000.0,-8526000,946931000.0,655902000.0,-21883000.0,103566000.0
FSP,2025-03-31,2025-04-29,27107000.0,-21435000,916366000.0,633386000.0,-9315000.0,103567000.0
