ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
FTAI,2020-06-30,2020-07-31,94309000.0,-11616000,3287494000.0,1251491000.0,-153477000.0,86009959.0
FTAI,2020-09-30,2020-10-30,83709000.0,-21333000,3375330000.0,1200847000.0,-127118000.0,86022302.0
FTAI,2020-12-31,2021-02-26,7076000.0,-55897000,3387977000.0,1099321000.0,-65413000.0,86022448.0
FTAI,2021-03-31,2021-04-30,77149000.0,-29915000,3592047000.0,1143652000.0,-208077000.0,86027944.0
FTAI,2021-06-30,2021-07-29,96915000.0,-29983000,3553946000.0,1041013000.0,-62655000.0,86030652.0
FTAI,2021-09-30,2021-10-29,99174000.0,-32080000,4682517000.0,1204042000.0,-101675000.0,88277897.0
FTAI,2021-12-31,2022-02-28,98231000.0,-12256000,4863854000.0,1124100000.0,-240189000.0,99351859.0
FTAI,2022-03-31,2022-04-29,91691000.0,-229659000,4758497000.0,760995000.0,-226409000.0,99366877.0
FTAI,2022-06-30,2022-07-29,112064000.0,9760000,4882148000.0,689271000.0,-131713000.0,99805455.0
FTAI,2022-09-30,2022-10-31,230365000.0,-16058000,2277985000.0,26048000.0,-15113000.0,99378771.0
FTAI,2022-12-31,2023-02-27,274291000.0,26801000,2429577000.0,19402000.0,-127834000.0,99132929.0
FTAI,2023-03-31,2023-04-27,292718000.0,29397000,2441444000.0,74156000.0,32562000.0,100974100.0
FTAI,2023-06-30,2023-07-27,274345000.0,54753000,2525632000.0,91318000.0,-54117000.0,100462277.0
FTAI,2023-09-30,2023-10-26,291096000.0,41307000,2633786000.0,95062000.0,-40403000.0,100482309.0
FTAI,2023-12-31,2024-02-26,312737000.0,118360000,2964685000.0,175883000.0,-118923000.0,99784422.0
FTAI,2024-03-31,2024-04-26,326694000.0,39622000,3175906000.0,177606000.0,-147303000.0,100960065.0
FTAI,2024-06-30,2024-08-09,443594000.0,-219870000,3449252000.0,69567000.0,-235012000.0,100958524.0
FTAI,2024-09-30,2024-11-12,465794000.0,86482000,3738910000.0,118532000.0,21054000.0,103395348.0
FTAI,2024-12-31,2025-03-03,498819000.0,102448000,4037952000.0,81368000.0,-67331000.0,102570252.0
FTAI,2025-03-31,2025-05-05,502080000.0,102386000,4268144000.0,28333000.0,-59935000.0,103159051.0
