ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
FTLF,2020-06-30,2020-08-13,2740000.0,-92000,7713000.0,4628000.0,,8480264.0
FTLF,2020-09-30,2020-11-12,6923000.0,1645000,9585000.0,6292000.0,,9013048.0
FTLF,2020-12-31,2021-03-26,6297000.0,5844000,16624000.0,11874000.0,,9397328.0
FTLF,2021-03-31,2021-05-14,5599000.0,1405000,18349000.0,13849000.0,,9397328.0
FTLF,2021-06-30,2021-08-16,8406000.0,1632000,19761000.0,15074000.0,,9397328.0
FTLF,2021-09-30,2021-11-12,6705000.0,1125000,20889000.0,16306000.0,,9602740.0
FTLF,2021-12-31,2022-10-13,7203000.0,1248000,21507000.0,17346000.0,,9602740.0
FTLF,2022-03-31,2022-07-15,7294000.0,1290000,23494000.0,18772000.0,,9602740.0
FTLF,2022-06-30,2022-10-14,7824000.0,1446000,24355000.0,20315000.0,,9919298.0
FTLF,2022-09-30,2022-11-10,8314000.0,1220000,26951000.0,21626000.0,,9976542.0
FTLF,2022-12-31,2023-03-24,5370000.0,473000,25707000.0,21388000.0,,9950.0
FTLF,2023-03-31,2023-05-15,10738000.0,156000,41665000.0,21608000.0,,9870000.0
FTLF,2023-06-30,2023-08-14,14760000.0,1964000,45634000.0,23850000.0,1499000.0,9774000.0
FTLF,2023-09-30,2023-11-13,13902000.0,1696000,43972000.0,25249000.0,972000.0,9782000.0
FTLF,2023-12-31,2024-03-29,13299000.0,1480000,55346000.0,27036000.0,1402000.0,9810.0
FTLF,2024-03-31,2024-05-14,16549000.0,2160000,55486000.0,29377000.0,5073000.0,10060000.0
FTLF,2024-06-30,2024-08-14,16930000.0,2628000,57311000.0,31856000.0,1523000.0,9900000.0
FTLF,2024-09-30,2024-11-14,15977000.0,2126000,58587000.0,34158000.0,2047000.0,9930000.0
FTLF,2024-12-31,2025-03-27,15013000.0,2070000,58531000.0,36126000.0,957000.0,9702000.0
FTLF,2025-03-31,2025-05-15,15936000.0,2018000,62193000.0,38918000.0,2286000.0,9926000.0
