ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
GEL,2020-06-30,2020-08-05,388467000.0,-326714000,6069437000.0,1931747000.0,31416000.0,122579000.0
GEL,2020-09-30,2020-11-05,443125000.0,-29717000,5953350000.0,1869485000.0,112666000.0,122579000.0
GEL,2020-12-31,2021-03-01,453140000.0,-85156000,5933619000.0,1750157000.0,-20045000.0,122579000.0
GEL,2021-03-31,2021-05-05,521219000.0,-34224000,5949613000.0,1701679000.0,37794000.0,122579000.0
GEL,2021-06-30,2021-08-04,503855000.0,-41682000,5963487000.0,1664324000.0,39010000.0,122579000.0
GEL,2021-09-30,2021-11-04,518821000.0,-20899000,5826326000.0,1653802000.0,-52196000.0,122579000.0
GEL,2021-12-31,2022-02-24,581581000.0,-68262000,5905801000.0,1980135000.0,39578000.0,122579000.0
GEL,2022-03-31,2022-05-04,631947000.0,-5250000,6019199000.0,1943106000.0,-25954000.0,122579218.0
GEL,2022-06-30,2022-08-02,721725000.0,35347000,5971460000.0,1680656000.0,42931000.0,122579218.0
GEL,2022-09-30,2022-10-27,721248000.0,3385000,6169539000.0,1758190000.0,-27890000.0,122579218.0
GEL,2022-12-31,2023-02-24,714037000.0,41975000,6365992000.0,1775462000.0,-18910000.0,122578346.0
GEL,2023-03-31,2023-05-04,790612000.0,-1644000,6586460000.0,1740658000.0,-33946000.0,122579000.0
GEL,2023-06-30,2023-08-03,804662000.0,49344000,6669459000.0,1737675000.0,46440000.0,122579000.0
GEL,2023-09-30,2023-11-02,807618000.0,58070000,6938442000.0,1751673000.0,-11591000.0,122521000.0
GEL,2023-12-31,2024-02-23,-681569000.0,11950000,7018778000.0,1710777000.0,-73268000.0,122461000.0
GEL,2024-03-31,2024-05-02,434447000.0,11353000,6945258000.0,1688442000.0,-48048000.0,122464000.0
GEL,2024-06-30,2024-08-01,430179000.0,-8744000,6951302000.0,1644981000.0,-56757000.0,122464000.0
GEL,2024-09-30,2024-10-31,397291000.0,-17177000,7058631000.0,1594388000.0,-32015000.0,122464000.0
GEL,2024-12-31,2025-03-03,398917000.0,-49379000,7037692000.0,1515783000.0,-23125000.0,122464000.0
GEL,2025-03-31,2025-05-08,398311000.0,-469075000,5211859000.0,740132000.0,-56646000.0,122464000.0
