ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
GILD,2020-06-30,2020-08-06,5143000000.0,-3339000000,55934000000.0,18142000000.0,2423000000.0,1255000000.0
GILD,2020-09-30,2020-11-04,6577000000.0,360000000,60878000000.0,17471000000.0,2095000000.0,1261000000.0
GILD,2020-12-31,2021-02-25,7421000000.0,1551000000,68407000000.0,18221000000.0,1735000000.0,1266000000.0
GILD,2021-03-31,2021-05-06,6423000000.0,1729000000,67492000000.0,18964000000.0,2445000000.0,1262000000.0
GILD,2021-06-30,2021-08-05,6217000000.0,1522000000,67984000000.0,19710000000.0,2197000000.0,1262000000.0
GILD,2021-09-30,2021-11-03,7421000000.0,2592000000,67098000000.0,21471000000.0,3114000000.0,1262000000.0
GILD,2021-12-31,2022-02-23,7244000000.0,382000000,67952000000.0,21064000000.0,3049000000.0,1262000000.0
GILD,2022-03-31,2022-05-04,6590000000.0,19000000,63080000000.0,19915000000.0,1593000000.0,1262000000.0
GILD,2022-06-30,2022-08-08,6260000000.0,1144000000,62870000000.0,20215000000.0,1659000000.0,1260000000.0
GILD,2022-09-30,2022-11-02,7042000000.0,1789000000,62557000000.0,21057000000.0,2706000000.0,1261000000.0
GILD,2022-12-31,2023-02-22,7389000000.0,1640000000,63171000000.0,21209000000.0,2386000000.0,1265000000.0
GILD,2023-03-31,2023-05-03,6352000000.0,1010000000,61876000000.0,20939000000.0,1636000000.0,1261000000.0
GILD,2023-06-30,2023-08-04,6599000000.0,1044000000,62337000000.0,21093000000.0,2198000000.0,1258000000.0
GILD,2023-09-30,2023-11-07,7051000000.0,2181000000,62373000000.0,22241000000.0,1634000000.0,1257000000.0
GILD,2023-12-31,2024-02-23,7114000000.0,1427000000,62125000000.0,22749000000.0,1952000000.0,1256000000.0
GILD,2024-03-31,2024-05-08,6686000000.0,-4170000000,56291000000.0,17455000000.0,2114000000.0,1247000000.0
GILD,2024-06-30,2024-08-08,6954000000.0,1614000000,53579000000.0,18197000000.0,1194000000.0,1251000000.0
GILD,2024-09-30,2024-11-12,7545000000.0,1253000000,54525000000.0,18390000000.0,4168000000.0,1254000000.0
GILD,2024-12-31,2025-02-28,7569000000.0,1782000000,58996000000.0,19246000000.0,2829000000.0,1247000000.0
GILD,2025-03-31,2025-05-07,6667000000.0,1315000000,56434000000.0,19078000000.0,1654000000.0,1259000000.0
