ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
GLT,2020-06-30,2020-08-04,216183000.0,-2416000,1226884000.0,540999000.0,307000.0,44343000.0
GLT,2020-09-30,2020-11-09,233473000.0,6527000,1233942000.0,558425000.0,17721000.0,44636000.0
GLT,2020-12-31,2021-02-25,235282000.0,8722000,1286881000.0,577932000.0,76859000.0,44947000.0
GLT,2021-03-31,2021-05-04,225674000.0,8394000,1267879000.0,571061000.0,-10549000.0,44869000.0
GLT,2021-06-30,2021-08-03,244911000.0,1410000,1460090000.0,571245000.0,3213000.0,44872000.0
GLT,2021-09-30,2021-11-02,279651000.0,7527000,1456552000.0,563304000.0,32265000.0,44939000.0
GLT,2021-12-31,2022-02-25,334458000.0,-10394000,1880607000.0,542762000.0,21578000.0,45016000.0
GLT,2022-03-31,2022-05-10,381680000.0,-108327000,1749038000.0,416733000.0,-75429000.0,44709000.0
GLT,2022-06-30,2022-08-02,363963000.0,-2052000,1697290000.0,389922000.0,-23630000.0,44841000.0
GLT,2022-09-30,2022-11-03,371780000.0,-49496000,1635802000.0,319698000.0,223059000.0,44877000.0
GLT,2022-12-31,2023-02-27,373903000.0,-34333000,1647353000.0,318004000.0,-266279000.0,44885000.0
GLT,2023-03-31,2023-05-04,378208000.0,-13584000,1651471000.0,312587000.0,-39419000.0,44957000.0
GLT,2023-06-30,2023-08-03,357005000.0,-36940000,1576563000.0,278838000.0,-30325000.0,45041000.0
GLT,2023-09-30,2023-11-02,329921000.0,-19863000,1532912000.0,253698000.0,4044000.0,45099000.0
GLT,2023-12-31,2024-02-06,519000000.0,-8000000,1563796000.0,256854000.0,-43000000.0,31800000.0
GLT,2024-03-31,2024-05-09,558000000.0,14000000,1517231000.0,223322000.0,-48000000.0,45184000.0
GLT,2024-06-30,2024-08-08,556000000.0,19000000,1505023000.0,205520000.0,23000000.0,45338000.0
GLT,2024-09-30,2024-10-30,332101000.0,-15247000,2807000000.0,2139000000.0,-73751000.0,45442000.0
GLT,2024-12-31,2025-02-06,702000000.0,-60000000,3993000000.0,1106000000.0,-74000000.0,35400000.0
GLT,2025-03-31,2025-05-07,824000000.0,-41000000,4061000000.0,1093000000.0,-32000000.0,35600000.0
