ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
GLUE,2021-06-30,2021-08-12,,-18405000,368941000.0,356678000.0,-16283000.0,5070554.0
GLUE,2021-09-30,2021-11-10,,-19837000,384049000.0,369305000.0,-19482000.0,45987866.0
GLUE,2021-12-31,2022-03-29,,-23440000,366329000.0,347515000.0,-17219000.0,25000124.0
GLUE,2022-03-31,2022-05-11,,-23932000,346005000.0,325875000.0,-28966000.0,46595782.0
GLUE,2022-06-30,2022-08-11,,-26469000,365056000.0,302050000.0,-23054000.0,46668369.0
GLUE,2022-09-30,2022-11-10,,-27318000,357603000.0,291092000.0,-22016000.0,46732353.0
GLUE,2022-12-31,2023-03-16,,-30782000,342389000.0,271413000.0,-31232000.0,48912976.0
GLUE,2023-03-31,2023-05-11,,-32038000,309028000.0,243726000.0,-32587000.0,49347473.0
GLUE,2023-06-30,2023-08-10,,-35178000,278616000.0,213654000.0,-31774000.0,49431922.0
GLUE,2023-09-30,2023-11-09,,-34884000,252103000.0,184524000.0,-26365000.0,49814903000.0
GLUE,2023-12-31,2024-03-14,,-33252000,303755000.0,179250000.0,27945000.0,51396961.0
GLUE,2024-03-31,2024-05-09,1064000.0,-31968000,266746000.0,152519000.0,-39549000.0,60156187.0
GLUE,2024-06-30,2024-08-08,4695000.0,-30310000,344114000.0,224671000.0,-29789000.0,71233992.0
GLUE,2024-09-30,2024-11-07,9216000.0,-23859000,315080000.0,205457000.0,-21393000.0,82011670.0
GLUE,2024-12-31,2025-03-20,60647000.0,13437000,438732000.0,222936000.0,128739000.0,82238255.0
GLUE,2025-03-31,2025-05-08,84929000.0,46885000,393199000.0,275160000.0,-47079000.0,82956423.0
