ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
GNK,2020-06-30,2020-08-05,74206000.0,-18204000,1354566000.0,832626000.0,-11463000.0,41900901.0
GNK,2020-09-30,2020-11-04,87524000.0,-21098000,1317547000.0,811220000.0,1097000.0,41928682.0
GNK,2020-12-31,2021-02-24,95494000.0,-65921000,1232809000.0,744994000.0,-4256000.0,41934448.0
GNK,2021-03-31,2021-05-05,87591000.0,1985000,1180343000.0,746817000.0,-6395000.0,42276380.0
GNK,2021-06-30,2021-08-04,121008000.0,32037000,1182465000.0,777272000.0,33030000.0,42612132.0
GNK,2021-09-30,2021-11-03,155252000.0,57132000,1176765000.0,830683000.0,-9023000.0,42750836.0
GNK,2021-12-31,2022-02-24,183278000.0,90853000,1203002000.0,916675000.0,-29353000.0,42716136.0
GNK,2022-03-31,2022-05-04,136227000.0,41689000,1167502000.0,934069000.0,5590000.0,42867349.0
GNK,2022-06-30,2022-08-03,137764000.0,47382000,1186143000.0,950459000.0,43296000.0,42996676.0
GNK,2022-09-30,2022-11-09,135970000.0,40828000,1205733000.0,972516000.0,50754000.0,42881541.0
GNK,2022-12-31,2023-02-22,126973000.0,28677000,1173866000.0,968309000.0,-14367000.0,42916418.0
GNK,2023-03-31,2023-05-03,94391000.0,2634000,1143900000.0,949584000.0,18481000.0,43097362.0
GNK,2023-06-30,2023-08-08,90556000.0,11562000,1135393000.0,954945000.0,18513000.0,43134152.0
GNK,2023-09-30,2023-11-08,83361000.0,-32004000,1094997000.0,916389000.0,12497000.0,42816045.0
GNK,2023-12-31,2024-02-27,115516000.0,4938000,1141902000.0,914646000.0,39080000.0,42830026.0
GNK,2024-03-31,2024-05-08,117435000.0,18798000,1117806000.0,916630000.0,13986000.0,43606580.0
GNK,2024-06-30,2024-08-07,107047000.0,23467000,1057974000.0,923315000.0,-19064000.0,43664447.0
GNK,2024-09-30,2024-11-06,99332000.0,21459000,1044498000.0,931619000.0,24769000.0,43656385.0
GNK,2024-12-31,2025-02-21,99202000.0,12677000,1056602000.0,928228000.0,6044000.0,43674584.0
GNK,2025-03-31,2025-05-07,71269000.0,-11923000,1038530000.0,904651000.0,2244000.0,43201941.0
