ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
GNPX,2020-06-30,2020-08-11,,-4373293,24749299.0,24509513.0,-3510418.0,17679.0
GNPX,2020-09-30,2020-11-12,,-2774943,23351696.0,22976041.0,-2070115.0,19528.0
GNPX,2020-12-31,2021-03-26,,-5228314,31367214.0,30916490.0,-3908999.0,19863.0
GNPX,2021-03-31,2021-05-17,,-6489713,51036471.0,50422845.0,-5575312.0,22773.0
GNPX,2021-06-30,2021-08-13,,-3986118,48731437.0,47684219.0,-2998336.0,23686.0
GNPX,2021-09-30,2021-11-15,,-3437865,46327172.0,45165279.0,-2667047.0,23806.0
GNPX,2021-12-31,2022-03-30,,-6751273,42862286.0,41276991.0,-3244294.0,23929.0
GNPX,2022-03-31,2022-05-13,,-5309817,39409431.0,37024614.0,-4073539.0,23940.0
GNPX,2022-06-30,2022-08-12,,-5764643,34565123.0,32411285.0,-4502316.0,23947.0
GNPX,2022-09-30,2022-11-14,,-6142562,29945826.0,27488515.0,-4538722.0,23992.0
GNPX,2022-12-31,2023-03-31,,-6523599,25085027.0,22274740.0,-4566656.0,24028.0
GNPX,2023-03-31,2023-05-22,,-9202774,23320078.0,18484861.0,-6952064.0,24736.0
GNPX,2023-06-30,2023-08-21,,-7980193,15911119.0,12050873.0,-8127101.0,25989.0
GNPX,2023-09-30,2023-11-14,,-7748243,16643625.0,12305492.0,-4756958.0,28903.0
GNPX,2023-12-31,2024-03-31,,-5929252,10670592.0,7416384.0,-5988930.0,29792.0
GNPX,2024-03-31,2024-05-15,,-6245988,12564591.0,8756680.0,-5313713.0,32365.0
GNPX,2024-06-30,2024-08-09,,-6495845,6604810.0,4345550.0,,43239.0
GNPX,2024-09-30,2024-11-13,,-4315987,3907265.0,1664971.0,,69996.0
GNPX,2024-12-31,2025-04-01,,-4330461,4124325.0,1620155.0,-3869431.0,174879.0
GNPX,2025-03-31,2025-05-12,,-3964601,6009687.0,3867855.0,-4563245.0,305305.0
