ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
GOGO,2020-06-30,2020-08-10,54632000.0,-85979000,1064815000.0,-569017000.0,-29267000.0,81757000.0
GOGO,2020-09-30,2020-11-09,66525000.0,-80124000,984455000.0,-647194000.0,20205000.0,82707000.0
GOGO,2020-12-31,2021-03-11,77634000.0,845000,673588000.0,-641114000.0,-18429000.0,83395000.0
GOGO,2021-03-31,2021-05-06,73869000.0,-7685000,687732000.0,-631503000.0,23872000.0,84649000.0
GOGO,2021-06-30,2021-08-05,82375000.0,-69248000,352036000.0,-577282000.0,-16097000.0,109060000.0
GOGO,2021-09-30,2021-11-04,87172000.0,10959000,443205000.0,-560237000.0,25576000.0,133160000.0
GOGO,2021-12-31,2022-03-03,92300000.0,218709000,647687000.0,-320154000.0,25686000.0,181951000.0
GOGO,2022-03-31,2022-05-05,92750000.0,22196000,685275000.0,-281040000.0,8811000.0,134095000.0
GOGO,2022-06-30,2022-08-05,97836000.0,22017000,723566000.0,-145626000.0,15479000.0,134718000.0
GOGO,2022-09-30,2022-11-03,105318000.0,20176000,728639000.0,-128288000.0,7717000.0,134221000.0
GOGO,2022-12-31,2023-02-28,108163000.0,27670000,759526000.0,-101869000.0,21484000.0,132658000.0
GOGO,2023-03-31,2023-05-03,98597000.0,20449000,759238000.0,-88143000.0,13918000.0,133602000.0
GOGO,2023-06-30,2023-08-07,103221000.0,89849000,745513000.0,9212000.0,6861000.0,133228000.0
GOGO,2023-09-30,2023-11-07,97949000.0,20913000,767288000.0,33542000.0,13322000.0,133320000.0
GOGO,2023-12-31,2024-02-28,97810000.0,14467000,781539000.0,40725000.0,23702000.0,132982000.0
GOGO,2024-03-31,2024-05-07,104322000.0,30490000,808953000.0,62439000.0,25486000.0,132441000.0
GOGO,2024-06-30,2024-08-07,102059000.0,839000,802677000.0,52011000.0,18422000.0,131731000.0
GOGO,2024-09-30,2024-11-05,100529000.0,10630000,810737000.0,52724000.0,16938000.0,130389000.0
GOGO,2024-12-31,2025-03-14,137799000.0,-28213000,1229231000.0,69324000.0,-43709000.0,131455.0
GOGO,2025-03-31,2025-05-09,230307000.0,12042000,1238388000.0,82948000.0,26303000.0,135314000.0
