ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
GRTX,2020-06-30,2020-08-10,,-18657000,114295000.0,40237000.0,-15779000.0,24832264.0
GRTX,2020-09-30,2020-11-10,,-17078000,98075000.0,24695000.0,-15289000.0,24874805.0
GRTX,2020-12-31,2021-03-11,,-20066000,84098000.0,6118000.0,-16496000.0,24956987.0
GRTX,2021-03-31,2021-05-11,,-18715000,70486000.0,-10573000.0,-15489000.0,24988198.0
GRTX,2021-06-30,2021-08-10,,-22386000,115269000.0,-25517000.0,-16824000.0,25401046.0
GRTX,2021-09-30,2021-11-10,,-22626000,98765000.0,-43167000.0,-18429000.0,26304920.0
GRTX,2021-12-31,2022-03-10,,-16807000,83311000.0,-58004000.0,-17499000.0,26463668.0
GRTX,2022-03-31,2022-05-16,,-15443000,71099000.0,-70471000.0,-11398000.0,26749379.0
GRTX,2022-06-30,2022-08-09,,-14558000,61078000.0,-83246000.0,-8893000.0,26821303.0
GRTX,2022-09-30,2022-11-09,,-16033000,50713000.0,-97502000.0,-9215000.0,26823546.0
GRTX,2022-12-31,2023-03-08,,-16188000,44036000.0,-109181000.0,-13945000.0,27952428.0
GRTX,2023-03-31,2023-05-11,,-17710000,59714000.0,-97613000.0,,35196134.0
GRTX,2023-06-30,2023-08-14,,-20712000,48276000.0,-114999000.0,-10796000.0,42916962000.0
GRTX,2023-09-30,2023-11-14,,-15073000,37779000.0,-126553000.0,-12521000.0,45477952.0
GRTX,2023-12-31,2024-03-28,,112577000,26141000.0,-131185000.0,-9924000.0,44549285.0
GRTX,2024-03-31,2024-05-13,,-4381000,19651000.0,-134691000.0,,54392170.0
GRTX,2024-06-30,2024-08-14,,-4064000,16383000.0,-138032000.0,,54392170.0
GRTX,2024-09-30,2024-12-13,,-5581000,8901000.0,-143062000.0,-2302000.0,54392170.0
GRTX,2024-12-31,2025-03-31,,-4931000,10101000.0,-143669000.0,-2339000.0,55356350.0
GRTX,2025-03-31,2025-05-15,,-1592000,7661000.0,-144363000.0,,98503430.0
