ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
GTES,2020-06-30,2020-08-05,576500000.0,-22400000,7176300000.0,2841700000.0,27800000.0,297774142.0
GTES,2020-09-30,2020-11-04,712200000.0,41900000,7335700000.0,2955200000.0,37900000.0,296363267.0
GTES,2020-12-31,2021-02-10,794200000.0,24300000,7426300000.0,3185000000.0,159700000.0,274643158.0
GTES,2021-03-31,2021-05-11,881300000.0,67300000,7376400000.0,3230000000.0,-44200000.0,285174344.0
GTES,2021-06-30,2021-08-09,915100000.0,96900000,7498900000.0,3364000000.0,112000000.0,286038818.0
GTES,2021-09-30,2021-11-08,862400000.0,70200000,7506000000.0,3401500000.0,81700000.0,296238212.0
GTES,2021-12-31,2022-02-11,815600000.0,62700000,7533000000.0,3481400000.0,145900000.0,321724926.0
GTES,2022-03-31,2022-05-04,893400000.0,30900000,7399100000.0,3376200000.0,-123400000.0,296238212.0
GTES,2022-06-30,2022-08-05,906800000.0,53100000,7198000000.0,3303300000.0,3500000.0,286038818.0
GTES,2022-09-30,2022-11-04,860700000.0,51900000,7038700000.0,3243500000.0,73000000.0,285174344.0
GTES,2022-12-31,2023-02-09,893300000.0,84900000,7191600000.0,3443600000.0,225700000.0,282893466.0
GTES,2023-03-31,2023-05-04,897700000.0,26400000,7282400000.0,3553600000.0,38100000.0,287878415.0
GTES,2023-06-30,2023-08-04,936300000.0,64900000,7276900000.0,3391000000.0,116400000.0,279915448.0
GTES,2023-09-30,2023-11-03,872900000.0,78700000,7109300000.0,3412300000.0,90800000.0,267835011.0
GTES,2023-12-31,2024-02-08,863300000.0,62900000,7254500000.0,3543900000.0,165500000.0,266964438.0
GTES,2024-03-31,2024-05-01,862600000.0,40000000,7045900000.0,3495400000.0,-39100000.0,267435531.0
GTES,2024-06-30,2024-07-31,885500000.0,70700000,7034800000.0,3494300000.0,77100000.0,266812510.0
GTES,2024-09-30,2024-10-30,830700000.0,47600000,7121500000.0,3457900000.0,88400000.0,263441572.0
GTES,2024-12-31,2025-02-06,829400000.0,36600000,6786300000.0,3340300000.0,158500000.0,261012651.0
GTES,2025-03-31,2025-04-30,847600000.0,62000000,6885800000.0,3427900000.0,-16900000.0,261567906.0
