ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
HBIO,2020-06-30,2020-08-10,23308000.0,-1581000,150685000.0,76068000.0,2090000.0,3846800.0
HBIO,2020-09-30,2020-11-06,24037000.0,-1098000,149614000.0,77167000.0,1033000.0,3892000.0
HBIO,2020-12-31,2021-03-12,30984000.0,-615000,156254000.0,76681000.0,2176000.0,3884300.0
HBIO,2021-03-31,2021-05-07,26989000.0,-669000,151249000.0,77115000.0,736000.0,3978700.0
HBIO,2021-06-30,2021-08-06,29197000.0,-410000,153971000.0,78701000.0,562000.0,4015200.0
HBIO,2021-09-30,2021-11-05,29663000.0,-170000,153872000.0,76887000.0,-1140000.0,4075400.0
HBIO,2021-12-31,2022-03-11,33055000.0,961000,162344000.0,83401000.0,-241000.0,4067900.0
HBIO,2022-03-31,2022-05-04,28778000.0,-6880000,158044000.0,76375000.0,-2457000.0,4121900.0
HBIO,2022-06-30,2022-08-04,29208000.0,2435000,155273000.0,77504000.0,-632000.0,4256000.0
HBIO,2022-09-30,2022-11-09,26922000.0,-3405000,147013000.0,71979000.0,207000.0,4163700.0
HBIO,2022-12-31,2023-03-09,28427000.0,-1666000,145360000.0,72220000.0,2444000.0,4023600.0
HBIO,2023-03-31,2023-04-26,29975000.0,622000,145578000.0,74340000.0,1588000.0,4278300.0
HBIO,2023-06-30,2023-08-08,28759000.0,-980000,142899000.0,75388000.0,3035000.0,4235400.0
HBIO,2023-09-30,2023-11-07,25363000.0,-1239000,139735000.0,74286000.0,4144000.0,4268800.0
HBIO,2023-12-31,2024-03-07,28153000.0,-1818000,137366000.0,73074000.0,3473000.0,4251900.0
HBIO,2024-03-31,2024-05-07,24512000.0,-4694000,133161000.0,68812000.0,758000.0,4340200.0
HBIO,2024-06-30,2024-08-08,23097000.0,-2927000,128912000.0,67247000.0,-1664000.0,4348600.0
HBIO,2024-09-30,2024-11-08,21970000.0,-4802000,131239000.0,65322000.0,-1722000.0,4361400.0
HBIO,2024-12-31,2025-03-14,24556000.0,18000,126644000.0,63340000.0,1424000.0,4365000.0
HBIO,2025-03-31,2025-05-12,21774000.0,-50340000,79801000.0,14835000.0,2473000.0,4409600.0
