ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
HRL,2020-07-31,2020-09-01,2381457000.0,203120000,9600472000.0,6271747000.0,241873000.0,547149000.0
HRL,2020-10-31,2020-12-04,2420105000.0,234357000,9908284000.0,6430326000.0,109718000.0,548031000.0
HRL,2021-01-31,2021-03-02,2461147000.0,222283000,9957931000.0,6555728000.0,166784000.0,547444000.0
HRL,2021-04-30,2021-06-01,2606621000.0,227899000,9889004000.0,6705850000.0,110585000.0,547536000.0
HRL,2021-07-31,2021-09-03,2863670000.0,176917000,12332181000.0,6793731000.0,22967000.0,548072000.0
HRL,2021-10-31,2021-12-10,3454751000.0,281739000,12696331000.0,6978361000.0,471397000.0,547684000.0
HRL,2022-01-31,2022-03-08,3044358000.0,239570000,12827010000.0,7106326000.0,334397000.0,547290000.0
HRL,2022-04-30,2022-06-02,3096559000.0,261618000,13122264000.0,7345214000.0,114935000.0,550036000.0
HRL,2022-07-31,2022-09-01,3034414000.0,218916000,13140417000.0,7366948000.0,125685000.0,550167000.0
HRL,2022-10-31,2022-12-06,3283475000.0,279884000,13306920000.0,7540219000.0,282267000.0,550771000.0
HRL,2023-01-31,2023-03-02,2970992000.0,217719000,13283047000.0,7618993000.0,171593000.0,550031000.0
HRL,2023-04-30,2023-06-01,2977639000.0,217239000,13315746000.0,7691615000.0,154616000.0,549013000.0
HRL,2023-07-31,2023-08-31,2963299000.0,162679000,13426756000.0,7717864000.0,239324000.0,548637000.0
HRL,2023-10-31,2023-12-06,3198080000.0,195936000,13448772000.0,7738986000.0,217425000.0,548247000.0
HRL,2024-01-31,2024-02-29,2996911000.0,218862000,13512983000.0,7848565000.0,356777000.0,547920000.0
HRL,2024-04-30,2024-05-30,2887352000.0,189277000,14135373000.0,7896452000.0,176572000.0,548685000.0
HRL,2024-07-31,2024-09-04,2898443000.0,176699000,13113782000.0,7877225000.0,152543000.0,549266000.0
HRL,2024-10-31,2024-12-05,3138091000.0,220198000,13434730000.0,8004011000.0,324881000.0,549457000.0
HRL,2025-01-31,2025-02-27,2988813000.0,170574000,13403482000.0,8038442000.0,237074000.0,549854000.0
HRL,2025-04-30,2025-05-29,2898810000.0,180016000,13421806000.0,8041941000.0,-18594000.0,550611000.0
