ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
HSTM,2020-06-30,2020-07-30,60553000.0,3442000,477825000.0,339424000.0,7158000.0,32025000.0
HSTM,2020-09-30,2020-10-29,60883000.0,2634000,476557000.0,336265000.0,16755000.0,31981000.0
HSTM,2020-12-31,2021-02-26,61818000.0,923000,500313000.0,334062000.0,4867000.0,31593000.0
HSTM,2021-03-31,2021-04-29,63468000.0,2291000,501682000.0,336805000.0,17206000.0,31526000.0
HSTM,2021-06-30,2021-07-29,64816000.0,2441000,496302000.0,340379000.0,4711000.0,31617000.0
HSTM,2021-09-30,2021-10-28,64091000.0,1500000,494714000.0,342198000.0,11917000.0,31684000.0
HSTM,2021-12-31,2022-02-28,64338000.0,-387000,486753000.0,339019000.0,5134000.0,31909000.0
HSTM,2022-03-31,2022-04-28,65367000.0,2893000,483926000.0,322572000.0,20019000.0,31520000.0
HSTM,2022-06-30,2022-07-28,65638000.0,3083000,477704000.0,326732000.0,6807000.0,30512000.0
HSTM,2022-09-30,2022-10-27,67285000.0,3666000,481197000.0,330282000.0,14710000.0,30662000.0
HSTM,2022-12-31,2023-02-28,68536000.0,2449000,497741000.0,334064000.0,7910000.0,30174000.0
HSTM,2023-03-31,2023-04-27,68946000.0,2623000,503159000.0,336039000.0,19662000.0,30659000.0
HSTM,2023-06-30,2023-07-27,69198000.0,4133000,493474000.0,340619000.0,4445000.0,30775000.0
HSTM,2023-09-30,2023-10-26,70339000.0,3867000,498050000.0,342246000.0,24197000.0,30769000.0
HSTM,2023-12-31,2024-02-26,70581000.0,4590000,499942000.0,340752000.0,13466000.0,30489000.0
HSTM,2024-03-31,2024-04-25,72760000.0,5227000,511605000.0,344854000.0,20196000.0,30418000.0
HSTM,2024-06-30,2024-07-25,71556000.0,4168000,499555000.0,349214000.0,6279000.0,30526000.0
HSTM,2024-09-30,2024-10-24,73095000.0,5725000,502831000.0,355481000.0,18827000.0,30590000.0
HSTM,2024-12-31,2025-02-28,74235000.0,4889000,510766000.0,359355000.0,10957000.0,30642000.0
HSTM,2025-03-31,2025-05-09,73485000.0,4332000,524036000.0,362808000.0,26019000.0,30587000.0
