ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
HTIBP,2020-06-30,2020-08-14,94664000.0,-22061000,2350449000.0,982306000.0,9624000.0,103445973.0
HTIBP,2020-09-30,2020-11-16,95835000.0,-9768000,2339629000.0,976984000.0,6675000.0,103445973.0
HTIBP,2020-12-31,2021-03-30,90878000.0,-19982000,2286895000.0,961372000.0,-8238000.0,103445973.0
HTIBP,2021-03-31,2021-05-14,83436000.0,-11488000,2275752000.0,965364000.0,3236000.0,103445973.0
HTIBP,2021-06-30,2021-08-13,81160000.0,-14159000,2178801000.0,1004217000.0,-37037000.0,103445973.0
HTIBP,2021-09-30,2021-11-12,82006000.0,-40134000,2228573000.0,967967000.0,-97842000.0,103445973.0
HTIBP,2021-12-31,2022-03-18,82753000.0,-19399000,2214400000.0,1040400000.0,-7849000.0,103445973.0
HTIBP,2022-03-31,2022-05-13,83650000.0,-23351000,2194051000.0,1040094000.0,2571000.0,103445973.0
HTIBP,2022-06-30,2022-08-12,83826000.0,-17606000,2178346000.0,1029463000.0,-15708000.0,103445973.0
HTIBP,2022-09-30,2022-11-10,83460000.0,-19853000,2173762000.0,1023302000.0,-274000.0,104956806.0
HTIBP,2022-12-31,2023-03-17,84910000.0,-18676000,2180349000.0,1044437000.0,-11825000.0,106428154.0
HTIBP,2023-03-31,2023-05-12,87355000.0,-14059000,2170056000.0,974425000.0,-24088000.0,108087025.0
HTIBP,2023-06-30,2023-08-11,86104000.0,-17310000,2185277000.0,959578000.0,182000.0,113086488.0
HTIBP,2023-09-30,2023-11-13,85686000.0,-16111000,2172257000.0,940581000.0,-8995000.0,28279423.0
HTIBP,2023-12-31,2024-03-15,86780000.0,-24818000,2145159000.0,900583000.0,1670000.0,203033948.0
HTIBP,2024-03-31,2024-05-10,88299000.0,-15550000,2133698000.0,884047000.0,-8223000.0,113148558.0
HTIBP,2024-06-30,2024-08-09,88817000.0,-116466000,2113379000.0,762587000.0,393000.0,113185753.0
HTIBP,2024-09-30,2024-11-12,88940000.0,-40692000,1997670000.0,708306000.0,-100476000.0,28291594.0
HTIBP,2024-12-31,2025-02-27,87738000.0,-16988000,1946023000.0,690125000.0,-81233000.0,28286391.0
HTIBP,2025-03-31,2025-05-08,86443000.0,-1569000,1831885000.0,680120000.0,-26898000.0,28296439.0
