ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
HWGC,2021-03-31,2021-05-17,134.0,-4070,211217000.0,-4600817000.0,2073.0,54087903.0
HWGC,2021-06-30,2021-08-18,4128.0,7338,197781.0,-4589840.0,15854.0,54087903.0
HWGC,2021-09-30,2021-11-15,-1360.0,11280,188003.0,-4537413.0,,5409310.0
HWGC,2021-12-31,2022-03-29,222.0,-37306,182987.0,-4585965.0,,54087903.0
HWGC,2022-03-31,2022-05-12,17.0,-123352,173301.0,-4679662.0,,54087903.0
HWGC,2022-06-30,2022-08-12,308.0,-32796,196478.0,-4611133.0,-27689.0,54087903.0
HWGC,2022-09-30,2022-11-10,,-179348,224499.0,-4634291.0,-184335.0,5409310.0
HWGC,2022-12-31,2023-04-17,3083954.0,6254466,63825261.0,113881794.0,-45045.0,5409310.0
HWGC,2023-03-31,2023-05-22,847194.0,3569,63221938.0,113899387.0,927177.0,5409310.0
HWGC,2023-06-30,2023-08-21,583628.0,-312724,61220439.0,113603704.0,333521.0,5409310.0
HWGC,2023-09-30,2023-11-14,946830.0,-143032,60488977.0,113443166.0,-495050.0,5409310.0
HWGC,2023-12-31,2024-04-05,42532.0,-40210529,21078344.0,73322482.0,-482613.0,5409310.0
