ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
HWM,2020-06-30,2020-08-07,1253000000.0,-96000000,11363000000.0,3449000000.0,-1000000.0,436000000.0
HWM,2020-09-30,2020-11-09,1134000000.0,36000000,11339000000.0,3501000000.0,-1000000.0,439000000.0
HWM,2020-12-31,2021-02-16,1238000000.0,106000000,11443000000.0,3577000000.0,104000000.0,441000000.0
HWM,2021-03-31,2021-05-06,1209000000.0,79000000,10971000000.0,3662000000.0,-61000000.0,439000000.0
HWM,2021-06-30,2021-08-04,1195000000.0,74000000,10379000000.0,3598000000.0,57000000.0,438000000.0
HWM,2021-09-30,2021-11-04,1283000000.0,27000000,10357000000.0,3579000000.0,20000000.0,434000000.0
HWM,2021-12-31,2022-02-14,1285000000.0,77000000,10219000000.0,3508000000.0,266000000.0,425000000.0
HWM,2022-03-31,2022-05-03,1324000000.0,131000000,10129000000.0,3457000000.0,-6000000.0,431460887.0
HWM,2022-06-30,2022-08-04,1393000000.0,147000000,10052000000.0,3421000000.0,97000000.0,431460887.0
HWM,2022-09-30,2022-10-31,1433000000.0,80000000,9929000000.0,3273000000.0,-83000000.0,422000000.0
HWM,2022-12-31,2023-02-14,1513000000.0,111000000,10255000000.0,3601000000.0,442000000.0,456965562.0
HWM,2023-03-31,2023-05-02,1603000000.0,148000000,10174000000.0,3761000000.0,-41000000.0,418000000.0
HWM,2023-06-30,2023-08-01,1648000000.0,193000000,10233000000.0,3775000000.0,188000000.0,1014000000.0
HWM,2023-09-30,2023-11-02,1658000000.0,188000000,10166000000.0,3872000000.0,133000000.0,415000000.0
HWM,2023-12-31,2024-02-13,1731000000.0,236000000,10428000000.0,4037000000.0,404000000.0,416000000.0
HWM,2024-03-31,2024-05-02,1824000000.0,243000000,10410000000.0,4086000000.0,102000000.0,412000000.0
HWM,2024-06-30,2024-07-30,1880000000.0,266000000,10679000000.0,4277000000.0,343000000.0,411000000.0
HWM,2024-09-30,2024-11-07,1835000000.0,332000000,10558000000.0,4503000000.0,163000000.0,410000000.0
HWM,2024-12-31,2025-02-14,1891000000.0,314000000,10519000000.0,4554000000.0,378000000.0,407000000.0
HWM,2025-03-31,2025-05-01,1942000000.0,344000000,10772000000.0,4792000000.0,139000000.0,407000000.0
