ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
HZO,2020-06-30,2020-07-28,498304000.0,34927000,735960000.0,425025000.0,237842000.0,22045900.0
HZO,2020-09-30,2020-12-02,398762000.0,25583000,775319000.0,455397000.0,78823000.0,22605102.0
HZO,2020-12-31,2021-02-02,411524000.0,23600000,964888000.0,482582000.0,-19755000.0,22745125.0
HZO,2021-03-31,2021-04-27,523095000.0,38935000,925126000.0,523304000.0,154433000.0,22986061.0
HZO,2021-06-30,2021-07-27,666328000.0,59618000,956090000.0,572771000.0,176710000.0,22864950.0
HZO,2021-09-30,2021-11-19,462310000.0,32826000,1007823000.0,594892000.0,36718000.0,22673350.0
HZO,2021-12-31,2022-02-01,472691000.0,35943000,1352771000.0,782666000.0,-15678000.0,22673350.0
HZO,2022-03-31,2022-05-03,610106000.0,53507000,1205724000.0,674260000.0,73097000.0,22663694.0
HZO,2022-06-30,2022-07-28,688537000.0,70179000,1320069000.0,742740000.0,22841000.0,22173273.0
HZO,2022-09-30,2022-11-18,536764000.0,38360000,1352771000.0,782666000.0,-61418000.0,23927675.0
HZO,2022-12-31,2023-01-31,507927000.0,19690000,2113284000.0,814926000.0,-166706000.0,22231163.0
HZO,2023-03-31,2023-04-27,570340000.0,30035000,2324728000.0,851260000.0,-109629000.0,22314262.0
HZO,2023-06-30,2023-07-27,721844000.0,44416000,2380295000.0,902357000.0,30794000.0,22427443.0
HZO,2023-09-30,2023-11-17,594595000.0,15141000,2421305000.0,918417000.0,-39362000.0,22744656.0
HZO,2023-12-31,2024-01-25,527274000.0,930000,2526507000.0,934571000.0,-102415000.0,22809017.0
HZO,2024-03-31,2024-04-25,582892000.0,1587000,2630989000.0,940458000.0,-37195000.0,22999229.0
HZO,2024-06-30,2024-07-25,757720000.0,31550000,2593665000.0,976934000.0,71332000.0,23049097.0
HZO,2024-09-30,2024-11-14,563122000.0,3999000,2605068000.0,986249000.0,-17355000.0,23199489.0
HZO,2024-12-31,2025-01-23,468461000.0,18066000,2634345000.0,1003201000.0,-158713000.0,23385374.0
HZO,2025-03-31,2025-04-24,631515000.0,3300000,2673101000.0,1003379000.0,62577000.0,23324347.0
