ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
IAC,2022-03-31,2022-05-10,1325345000.0,-235798000,11893536000.0,7528734000.0,-17504000.0,114195920.0
IAC,2022-06-30,2022-08-09,1362581000.0,-869130000,10749141000.0,6652571000.0,-63878000.0,114195920.0
IAC,2022-09-30,2022-11-09,1300901000.0,-63823000,10441573000.0,6570488000.0,-133303000.0,105745812.0
IAC,2022-12-31,2023-03-01,1246453000.0,-1419000,10393635000.0,6599769000.0,1199764000.0,115453078.0
IAC,2023-03-31,2023-05-09,1084271000.0,417775000,10754021000.0,6947669000.0,17642000.0,107702307.0
IAC,2023-06-30,2023-08-08,1111589000.0,-89045000,10549090000.0,6812280000.0,16345000.0,104866913.0
IAC,2023-09-30,2023-11-07,1111341000.0,-390538000,10018172000.0,6445897000.0,-3978000.0,100964894.0
IAC,2023-12-31,2024-02-29,-387798000.0,327750000,10371177000.0,6788381000.0,-430135000.0,108064350.0
IAC,2024-03-31,2024-05-07,624290000.0,45031000,10359610000.0,6849464000.0,-23427000.0,104660902.0
IAC,2024-06-30,2024-08-07,634393000.0,-142232000,10204147000.0,6725210000.0,164496000.0,101298900.0
IAC,2024-09-30,2024-11-12,642000000.0,-243719000,9837191000.0,6483238000.0,375678000.0,101393982.0
IAC,2024-12-31,2025-02-28,721438000.0,-198977000,9688644000.0,6304388000.0,266979000.0,101506130.0
IAC,2025-03-31,2025-05-05,570489000.0,-216805000,7187125000.0,4762732000.0,-145828000.0,82214000.0
