ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ICPT,2020-06-30,2020-08-10,77249000.0,-63281000,637494000.0,-78796000.0,-15068000.0,32960000.0
ICPT,2020-09-30,2020-11-09,79521000.0,-66469000,591352000.0,-130287000.0,-41810000.0,32989000.0
ICPT,2020-12-31,2021-02-25,4548000.0,-52147000,580489000.0,-166853000.0,-19714000.0,33370000.0
ICPT,2021-03-31,2021-05-06,81661000.0,-40420000,520111000.0,-199998000.0,-55027000.0,33139000.0
ICPT,2021-06-30,2021-07-29,68178000.0,-11094000,523224000.0,-203195000.0,4827000.0,33139000.0
ICPT,2021-09-30,2021-11-03,66640000.0,-3632000,523074000.0,-156030000.0,2768000.0,31736000.0
ICPT,2021-12-31,2022-03-02,68633000.0,-36280000,527023000.0,-183962000.0,5175000.0,31736000.0
ICPT,2022-03-31,2022-05-06,59146000.0,-17284000,503357000.0,-371761000.0,-20131000.0,29563000.0
ICPT,2022-06-30,2022-08-03,71757000.0,-7528000,498597000.0,-369833000.0,14214000.0,29563000.0
ICPT,2022-09-30,2022-11-01,77588000.0,267453000,559404000.0,107676000.0,-16922000.0,34293000.0
ICPT,2022-12-31,2023-03-02,77219000.0,-20825000,553711000.0,93077000.0,-5103000.0,33837000.0
ICPT,2023-03-31,2023-04-27,67958000.0,-32135000,504085000.0,67185000.0,,33837000.0
ICPT,2023-06-30,2023-08-02,83718000.0,-5862000,484635000.0,67546000.0,-23400000.0,41731000.0
ICPT,2023-09-30,2023-11-06,88789000.0,-2790000,393162000.0,71845000.0,16673000.0,41792000.0
