ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
IEX,2020-06-30,2020-07-24,561249000.0,70864000,4073592000.0,2261037000.0,163203000.0,75937000.0
IEX,2020-09-30,2020-10-28,581113000.0,103848000,4225595000.0,2396529000.0,135449000.0,75960000.0
IEX,2020-12-31,2021-02-25,614776000.0,101090000,4414400000.0,2540300000.0,147009000.0,77251000.0
IEX,2021-03-31,2021-04-28,652000000.0,112700000,4460731000.0,2610015000.0,94900000.0,76341000.0
IEX,2021-06-30,2021-07-28,686000000.0,102200000,4782997000.0,2672864000.0,120300000.0,76431000.0
IEX,2021-09-30,2021-10-27,712000000.0,115700000,4854579000.0,2726283000.0,141700000.0,76452000.0
IEX,2021-12-31,2022-02-24,714800000.0,118800000,4917200000.0,2803100000.0,131700000.0,76584000.0
IEX,2022-03-31,2022-04-27,751100000.0,139800000,4999700000.0,2898900000.0,70100000.0,76500000.0
IEX,2022-06-30,2022-07-27,796100000.0,138000000,4912800000.0,2788000000.0,96800000.0,76100000.0
IEX,2022-09-30,2022-10-26,824000000.0,178700000,4892600000.0,2802600000.0,175200000.0,75800000.0
IEX,2022-12-31,2023-02-23,810700000.0,130400000,5511900000.0,3039600000.0,146600000.0,75600000.0
IEX,2023-03-31,2023-04-27,845400000.0,139800000,5658000000.0,3229500000.0,120000000.0,75900000.0
IEX,2023-06-30,2023-07-27,846200000.0,138400000,5719900000.0,3278900000.0,116200000.0,75900000.0
IEX,2023-09-30,2023-10-26,793400000.0,209100000,5669600000.0,3387200000.0,204100000.0,75900000.0
IEX,2023-12-31,2024-02-22,788900000.0,108600000,5865200000.0,3541200000.0,186500000.0,75900000.0
IEX,2024-03-31,2024-04-24,800500000.0,121200000,5889400000.0,3618300000.0,136600000.0,75900000.0
IEX,2024-06-30,2024-08-01,807200000.0,141300000,5903300000.0,3653400000.0,117700000.0,75900000.0
IEX,2024-09-30,2024-10-30,798200000.0,119100000,6967500000.0,3818300000.0,191600000.0,75900000.0
IEX,2024-12-31,2025-02-20,862900000.0,123200000,6745300000.0,3794100000.0,157100000.0,75900000.0
IEX,2025-03-31,2025-05-01,814300000.0,95300000,6795100000.0,3905900000.0,91400000.0,75800000.0
