ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
IGC,2020-06-30,2020-08-19,584000.0,-1882000,28299000.0,24863000.0,-4932000.0,40189000.0
IGC,2020-09-30,2020-11-20,125000.0,-1657000,26346000.0,23598000.0,-2747000.0,41244000.0
IGC,2020-12-31,2021-02-16,108000.0,-2323000,24163000.0,21472000.0,-1997000.0,41304000.0
IGC,2021-03-31,2021-06-14,81000.0,-2949000,35867000.0,32803000.0,-2594000.0,45116528.0
IGC,2021-06-30,2021-08-11,77000.0,-1788000,34444000.0,31737000.0,-1944000.0,47910866.0
IGC,2021-09-30,2021-10-29,56000.0,-4344000,33836000.0,31256000.0,-2334000.0,49948930.0
IGC,2021-12-31,2022-02-10,142000.0,-2381000,31288000.0,29475000.0,-2449000.0,51053191.0
IGC,2022-03-31,2022-06-23,122000.0,-6503000,26834000.0,23892000.0,-942000.0,51053537.0
IGC,2022-06-30,2022-08-05,212000.0,-2785000,24166000.0,22040000.0,-2323000.0,51616598.0
IGC,2022-09-30,2022-11-01,202000.0,-2442000,21958000.0,20144000.0,-2090000.0,52194098.0
IGC,2022-12-31,2023-02-14,332000.0,-2249000,20070000.0,18317000.0,-1686000.0,53063473.0
IGC,2023-03-31,2023-07-07,166000.0,-4030000,17178000.0,14911000.0,-2428000.0,53430863.0
IGC,2023-06-30,2023-08-10,555000.0,-2075000,15673000.0,13202000.0,-1506000.0,53077436.0
IGC,2023-09-30,2023-11-09,291000.0,-2451000,16506000.0,14098000.0,-1669000.0,54301087.0
IGC,2023-12-31,2024-02-14,204000.0,-5589000,11259000.0,9053000.0,-1815000.0,63725084.0
IGC,2024-03-31,2024-06-24,295000.0,-2885000,9902000.0,7321000.0,-830000.0,64255865.0
IGC,2024-06-30,2024-08-07,272000.0,-2378000,10594000.0,7880000.0,-1672000.0,72813538.0
IGC,2024-09-30,2024-11-12,412000.0,-1717000,10369000.0,7377000.0,-1127000.0,76007129.0
IGC,2024-12-31,2025-02-14,257000.0,-1829000,9078000.0,6259000.0,-1376000.0,77633004.0
IGC,2025-03-31,2025-06-27,330000.0,-1197000,8747000.0,6330000.0,-875000.0,79615029.0
