ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
IGXT,2020-06-30,2020-08-13,42000.0,-1649895,11568000.0,1434000.0,-1564000.0,110259652.0
IGXT,2020-09-30,2020-11-12,510000.0,-1660000,10593000.0,-87000.0,-1566000.0,110259652.0
IGXT,2020-12-31,2021-03-25,790000.0,-1277000,11118000.0,-953000.0,-533000.0,110336211.0
IGXT,2021-03-31,2021-05-13,286000.0,-2261000,10245000.0,-3041000.0,-1481000.0,111722199.0
IGXT,2021-06-30,2021-08-04,162000.0,-2188365,20416000.0,6840000.0,-1911000.0,131771509.0
IGXT,2021-09-30,2021-11-12,593000.0,-2002000,20639000.0,5213000.0,-1781000.0,150590729.0
IGXT,2021-12-31,2022-03-24,494000.0,-2858000,17905000.0,3871000.0,-2108000.0,153928815.0
IGXT,2022-03-31,2022-05-12,237000.0,-2686000,18036000.0,614000.0,-2351000.0,154595511.0
IGXT,2022-06-30,2022-08-11,398000.0,-2584000,14189000.0,1645000.0,-2639000.0,154898476.0
IGXT,2022-09-30,2022-11-10,142000.0,-2676000,11354000.0,-1128000.0,-2220000.0,174621253.0
IGXT,2022-12-31,2023-03-29,173000.0,-2744000,9190000.0,-3423000.0,-2577000.0,174868976.0
IGXT,2023-03-31,2023-05-11,162000.0,-2925000,10341000.0,-6313000.0,-2336000.0,174646196.0
IGXT,2023-06-30,2023-08-14,133000.0,-2864000,7824000.0,-9155000.0,-2334000.0,174646196.0
IGXT,2023-09-30,2023-11-09,318000.0,-2759000,8113000.0,-10906000.0,-3626000.0,174658096.0
IGXT,2023-12-31,2024-03-21,426000.0,-1380000,8282000.0,-12247000.0,-1213000.0,174658096.0
IGXT,2024-03-31,2024-05-15,174000.0,-4027000,6548000.0,-15366000.0,,174658096.0
