ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
IMRA,2020-06-30,2020-08-14,,-10204000,111317000.0,106296000.0,-9263000.0,26287264.0
IMRA,2020-09-30,2020-11-05,,-12423000,100175000.0,94698000.0,-10346000.0,26287264.0
IMRA,2020-12-31,2021-03-05,,-11518000,90842000.0,84435000.0,-8273000.0,26287264.0
IMRA,2021-03-31,2021-05-11,,-10257000,81687000.0,75594000.0,-13032000.0,26287264.0
IMRA,2021-06-30,2021-08-06,,-13161000,72468000.0,64967000.0,-10365000.0,26287264.0
IMRA,2021-09-30,2021-11-09,,-13647000,107027000.0,99373000.0,-10901000.0,26287264.0
IMRA,2021-12-31,2022-03-15,,-14319000,93646000.0,86030000.0,-12485000.0,26287264.0
IMRA,2022-03-31,2022-05-06,,-8669000,81602000.0,72412000.0,-10555000.0,26287264.0
IMRA,2022-06-30,2022-08-03,,-8889000,64666000.0,61364000.0,-7427000.0,26287264.0
IMRA,2022-09-30,2022-10-25,,-10554000,59104000.0,57286000.0,-6461000.0,26287264.0
IMRA,2022-12-31,2023-02-10,,-9550000,83298000.0,72924000.0,-8246000.0,26385567.0
IMRA,2023-03-31,2023-05-11,,-14724000,302866000.0,291416000.0,-20875000.0,18514644.0
IMRA,2023-06-30,2023-08-10,,-16721000,288501000.0,278994000.0,-12137000.0,40961024000.0
IMRA,2023-09-30,2023-11-09,,-20769000,274041000.0,261748000.0,-15910000.0,41030874000.0
IMRA,2023-12-31,2024-03-14,,-19370000,271867000.0,245906000.0,-12496000.0,35546215.0
IMRA,2024-03-31,2024-05-14,,-22738000,342777000.0,317712000.0,-23381000.0,42045608.0
IMRA,2024-06-30,2024-08-13,,-19950000,327043000.0,304932000.0,-20437000.0,48075035.0
IMRA,2024-09-30,2024-11-13,,-23156000,305430000.0,288403000.0,-12215000.0,48267458.0
IMRA,2024-12-31,2025-03-13,,-23180000,325760000.0,309845000.0,-17203000.0,49902027.0
IMRA,2025-03-31,2025-05-14,,-28544000,302570000.0,288296000.0,-24147000.0,50051283.0
