ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
INFN,2020-06-30,2020-08-06,331587000.0,-61635000,1595858000.0,329854000.0,-47110000.0,185596000.0
INFN,2020-09-30,2020-11-05,340211000.0,-35896000,1571467000.0,349228000.0,-44573000.0,189589000.0
INFN,2020-12-31,2021-03-03,353525000.0,-9924000,1732497000.0,426284000.0,40355000.0,195655000.0
INFN,2021-03-31,2021-05-04,330907000.0,-48322000,1566955000.0,393348000.0,6909000.0,202638000.0
INFN,2021-06-30,2021-08-03,338227000.0,-35594000,1560527000.0,376593000.0,7236000.0,202638000.0
INFN,2021-09-30,2021-11-03,355814000.0,-53794000,1533459000.0,340271000.0,-19700000.0,209183000.0
INFN,2021-12-31,2022-02-23,400257000.0,-33068000,1587224000.0,323771000.0,-7696000.0,209183000.0
INFN,2022-03-31,2022-05-03,338874000.0,-41850000,1495538000.0,170205000.0,-271000.0,210908000.0
INFN,2022-06-30,2022-07-28,357985000.0,-55721000,1468800000.0,116558000.0,-83086000.0,215509000.0
INFN,2022-09-30,2022-11-02,390447000.0,-11930000,1499688000.0,114201000.0,8611000.0,217620000.0
INFN,2022-12-31,2023-02-27,485936000.0,33458000,1669138000.0,179647000.0,-8867000.0,185471000.0
INFN,2023-03-31,2023-05-04,392075000.0,-8410000,1598386000.0,186256000.0,-18578000.0,222393000.0
INFN,2023-06-30,2023-08-09,376228000.0,-20263000,1586137000.0,167178000.0,-9353000.0,225922000.0
INFN,2023-09-30,2024-02-29,392369000.0,-9413000,1568325000.0,181229000.0,-43111000.0,228077000.0
INFN,2023-12-31,2024-05-17,453456000.0,12873000,1679238000.0,216591000.0,58238000.0,230512000.0
INFN,2024-03-31,2024-05-24,306922000.0,-61395000,1565163000.0,161542000.0,15950000.0,231533000.0
INFN,2024-06-30,2024-08-02,342739000.0,-48287000,1518835000.0,131588000.0,-74536000.0,234349000.0
INFN,2024-09-30,2024-11-05,354398000.0,-14313000,1505757000.0,133846000.0,20473000.0,235832000.0
INFN,2024-12-31,2025-02-28,414387000.0,-26343000,1533758000.0,116515000.0,43780000.0,236974000.0
