ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
INGN,2020-06-30,2020-08-04,71691000.0,2580000,458121000.0,351114000.0,12522000.0,22221356.0
INGN,2020-09-30,2020-11-04,74329000.0,-1699000,460331000.0,352500000.0,5743000.0,21998299.0
INGN,2020-12-31,2021-02-24,73978000.0,-5121000,461852000.0,349623000.0,15148000.0,21785284.0
INGN,2021-03-31,2021-05-04,86932000.0,-732000,476475000.0,356284000.0,1364000.0,22181394.0
INGN,2021-06-30,2021-08-04,101563000.0,5102000,498174000.0,370916000.0,15148000.0,22874321.0
INGN,2021-09-30,2021-11-04,93105000.0,12174000,512857000.0,390920000.0,-4194000.0,22854229.0
INGN,2021-12-31,2022-02-24,76403000.0,-22877000,489513000.0,370227000.0,5854000.0,22050164.0
INGN,2022-03-31,2022-05-05,80385000.0,-14214000,474616000.0,358285000.0,-19373000.0,22754421.0
INGN,2022-06-30,2022-08-04,103376000.0,-3442000,470069000.0,356537000.0,4723000.0,22845040.0
INGN,2022-09-30,2022-11-03,105389000.0,-9506000,469584000.0,350842000.0,-10018000.0,22882333.0
INGN,2022-12-31,2023-02-24,88091000.0,-56610000,405041000.0,297406000.0,-15870000.0,22928490.0
INGN,2023-03-31,2023-05-05,72162000.0,-20349000,385674000.0,281297000.0,-7319000.0,23009617.0
INGN,2023-06-30,2023-08-08,83635000.0,-9826000,374351000.0,274779000.0,1534000.0,23146117.0
INGN,2023-09-30,2023-11-09,83967000.0,-45719000,343696000.0,230630000.0,1530000.0,23231217.0
INGN,2023-12-31,2024-03-01,75896000.0,-26555000,326194000.0,204812000.0,-4493000.0,23317441.0
INGN,2024-03-31,2024-05-08,78025000.0,-14578000,315599000.0,191898000.0,-5989000.0,23401598.0
INGN,2024-06-30,2024-08-07,88765000.0,-5590000,308919000.0,187595000.0,4590000.0,23614970.0
INGN,2024-09-30,2024-11-08,88834000.0,-5963000,306172000.0,185404000.0,5482000.0,23751168.0
INGN,2024-12-31,2025-02-28,80081000.0,-9757000,296185000.0,173860000.0,-3344000.0,23849844.0
INGN,2025-03-31,2025-05-08,82280000.0,-6174000,308412000.0,197952000.0,-17082000.0,25164444.0
