ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
INSM,2020-06-30,2020-08-06,42495000.0,-61854000,885365000.0,405318000.0,-37834000.0,96633000.0
INSM,2020-09-30,2020-10-29,43643000.0,-63659000,840715000.0,357061000.0,-59415000.0,101615000.0
INSM,2020-12-31,2021-02-25,41415000.0,-102213000,796155000.0,275884000.0,-67725000.0,102393000.0
INSM,2021-03-31,2021-05-06,40214000.0,-91641000,692391000.0,201636000.0,-129462000.0,103040000.0
INSM,2021-06-30,2021-08-05,45366000.0,-117321000,1229783000.0,531053000.0,-78929000.0,109580000.0
INSM,2021-09-30,2021-10-28,46757000.0,-112714000,1311771000.0,504842000.0,-76926000.0,117092000.0
INSM,2021-12-31,2022-02-17,56124000.0,-112978000,1243508000.0,410468000.0,-85274000.0,118732000.0
INSM,2022-03-31,2022-05-05,53107000.0,-94621000,1153315000.0,119880000.0,-106862000.0,118929000.0
INSM,2022-06-30,2022-08-04,65221000.0,-95645000,1053354000.0,44241000.0,-105205000.0,119602000.0
INSM,2022-09-30,2022-10-27,67730000.0,-131145000,994817000.0,-29959000.0,-90410000.0,120789000.0
INSM,2022-12-31,2023-02-23,59300000.0,-160123000,1656435000.0,87951000.0,-107840000.0,132820000.0
INSM,2023-03-31,2023-05-04,65214000.0,-159764000,1517717000.0,-44653000.0,-159951000.0,136355000.0
INSM,2023-06-30,2023-08-03,77229000.0,-244809000,1439139000.0,-155745000.0,-204156000.0,137553000.0
INSM,2023-09-30,2023-10-26,79072000.0,-158933000,1324873000.0,-289357000.0,-139187000.0,142899000.0
INSM,2023-12-31,2024-02-22,83693000.0,-186061000,1329837000.0,-331923000.0,-132972000.0,144925000.0
INSM,2024-03-31,2024-05-09,75500000.0,-157091000,1159095000.0,-464808000.0,-188714000.0,148456000.0
INSM,2024-06-30,2024-08-08,90340000.0,-300609000,1810118000.0,38818000.0,-129735000.0,154702000.0
INSM,2024-09-30,2024-10-31,93425000.0,-220524000,2052972000.0,483415000.0,-184605000.0,173721000.0
INSM,2024-12-31,2025-02-20,104442000.0,-235548000,2025231000.0,285379000.0,-202751000.0,179293000.0
INSM,2025-03-31,2025-05-08,92823000.0,-256583000,1802735000.0,99159000.0,-272158000.0,180860000.0
