ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
IRIX,2020-06-30,2020-08-07,6219000.0,-2780000,29275000.0,18794000.0,-1997000.0,13792000.0
IRIX,2020-09-30,2020-11-10,8803000.0,-1719000,28459000.0,17252000.0,405000.0,13893000.0
IRIX,2020-12-31,2021-03-23,12304000.0,-179000,27969000.0,17366000.0,-217000.0,13897000.0
IRIX,2021-03-31,2021-05-12,11959000.0,-2010000,49559000.0,25649000.0,11757000.0,14346000.0
IRIX,2021-06-30,2021-08-12,13426000.0,1393000,50520000.0,26880000.0,-1283000.0,16307000.0
IRIX,2021-09-30,2021-11-12,13264000.0,-2165000,50542000.0,25322000.0,-695000.0,15824000.0
IRIX,2021-12-31,2022-03-15,15254000.0,-2443000,48687000.0,23299000.0,-1775000.0,16819000.0
IRIX,2022-03-31,2022-05-12,13387000.0,-2391000,48024000.0,21326000.0,-3279000.0,15867000.0
IRIX,2022-06-30,2022-08-15,13755000.0,-2241000,45646000.0,19432000.0,-2690000.0,15867000.0
IRIX,2022-09-30,2022-11-10,14635000.0,-1767000,44959000.0,18075000.0,-2163000.0,15986000.0
IRIX,2022-12-31,2023-03-09,15195000.0,-1148000,42290000.0,17231000.0,-1673000.0,15938000.0
IRIX,2023-03-31,2023-05-11,13706000.0,-2090000,40980000.0,15884000.0,-2886000.0,16001000.0
IRIX,2023-06-30,2023-08-10,12855000.0,-2766000,36939000.0,13450000.0,-1157000.0,16036000.0
IRIX,2023-09-30,2023-11-20,12850000.0,-1754000,34949000.0,12064000.0,-1864000.0,16231000.0
IRIX,2023-12-31,2024-03-29,12458000.0,-2960000,34436000.0,9522000.0,-1011000.0,16244000.0
IRIX,2024-03-31,2024-05-14,11761000.0,-3464000,34092000.0,6488000.0,-1651000.0,16253000.0
IRIX,2024-06-30,2024-08-08,12631000.0,-2679000,31249000.0,4246000.0,-1326000.0,16287000.0
IRIX,2024-09-30,2024-11-12,11581000.0,-1933000,30154000.0,2623000.0,-3074000.0,16581000.0
