ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
JHG,2020-06-30,2020-07-29,518000000.0,102900000,6725200000.0,4897600000.0,200399999.0,182100000.0
JHG,2020-09-30,2020-10-29,568500000.0,118900001,6427100000.0,4619300000.0,178900000.0,178800000.0
JHG,2020-12-31,2021-02-24,657200000.0,155500000,6690800000.0,4819599999.0,218900000.0,180400000.0
JHG,2021-03-31,2021-04-29,644000000.0,155500000,6494699999.0,4654500000.0,24199999.0,180400000.0
JHG,2021-06-30,2021-07-29,738400000.0,137300000,6630500000.0,4766500000.0,268500001.0,167800000.0
JHG,2021-09-30,2021-10-28,687400000.0,196800000,6703200000.0,4807300000.0,302000000.0,167800000.0
JHG,2021-12-31,2022-02-25,697200000.0,132500000,6702400000.0,4802300000.0,290500000.0,167800000.0
JHG,2022-03-31,2022-05-04,620000000.0,103600000,6423300000.0,4654600000.0,-59600000.0,166200000.0
JHG,2022-06-30,2022-07-28,555500000.0,96200000,6899600000.0,5269100000.0,158300000.0,162200000.0
JHG,2022-09-30,2022-10-31,512900000.0,107600000,6124100000.0,4398900000.0,214800000.0,160900000.0
JHG,2022-12-31,2023-02-28,515200000.0,65000000,6237800000.0,4596500000.0,107900000.0,158700000.0
JHG,2023-03-31,2023-05-03,495800000.0,87400000,6356100000.0,4775400000.0,-110200000.0,160400000.0
JHG,2023-06-30,2023-08-02,516500000.0,89800000,6388200000.0,4871600000.0,153500000.0,160700000.0
JHG,2023-09-30,2023-11-01,521000000.0,93500000,6299700000.0,4704600000.0,,160900000.0
JHG,2023-12-31,2024-02-27,568500000.0,121300000,6496600000.0,4855500000.0,,160000000.0
JHG,2024-03-31,2024-05-02,551700000.0,130100000,6270100000.0,4702100000.0,,157700000.0
JHG,2024-06-30,2024-08-01,588400000.0,129700000,6413400000.0,4821500000.0,,155800000.0
JHG,2024-09-30,2024-10-31,624800000.0,27300000,7263800000.0,5126700000.0,,154700000.0
JHG,2024-12-31,2025-02-27,708300000.0,121800000,6963100000.0,5083100000.0,,155000000.0
JHG,2025-03-31,2025-05-01,621400000.0,120700000,7117400000.0,5362000000.0,,154500000.0
