ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
KAI,2020-06-30,2020-08-05,152860000.0,11607000,915292000.0,440359000.0,21125000.0,11552000.0
KAI,2020-09-30,2020-11-04,154610000.0,14851000,913891000.0,462245000.0,22615000.0,11589000.0
KAI,2020-12-31,2021-03-02,168431000.0,16207000,927571000.0,496905000.0,38197000.0,11607000.0
KAI,2021-03-31,2021-05-12,172463000.0,16561000,935665000.0,504308000.0,16865000.0,11612000.0
KAI,2021-06-30,2021-08-11,195811000.0,22864000,1029476000.0,531126000.0,42366000.0,11650000.0
KAI,2021-09-30,2021-11-10,199789000.0,20461000,1133128000.0,543386000.0,34593000.0,11668000.0
KAI,2021-12-31,2022-03-01,218516000.0,24157000,1132212000.0,565616000.0,57565000.0,11690000.0
KAI,2022-03-31,2022-05-11,226480000.0,41192000,1144266000.0,599738000.0,22495000.0,11655000.0
KAI,2022-06-30,2022-08-10,221649000.0,26170000,1124003000.0,606164000.0,12197000.0,11689000.0
KAI,2022-09-30,2022-11-09,224510000.0,27487000,1106853000.0,609504000.0,18670000.0,11700000.0
KAI,2022-12-31,2023-02-28,232100000.0,26079000,1149881000.0,655571000.0,23175000.0,11708000.0
KAI,2023-03-31,2023-05-10,229758000.0,28075000,1169144000.0,684305000.0,32429000.0,11694000.0
KAI,2023-06-30,2023-08-09,245053000.0,29734000,1161422000.0,713025000.0,13766000.0,11723000.0
KAI,2023-09-30,2023-11-08,244182000.0,30864000,1154104000.0,733917000.0,38557000.0,11740000.0
KAI,2023-12-31,2024-02-27,238679000.0,27396000,1175665000.0,776240000.0,50580000.0,11759000.0
KAI,2024-03-31,2024-05-08,248975000.0,24689000,1409426000.0,794768000.0,17829000.0,11744000.0
KAI,2024-06-30,2024-08-07,274765000.0,31291000,1456032000.0,818386000.0,23125000.0,11766000.0
KAI,2024-09-30,2024-11-06,271614000.0,31586000,1489340000.0,862786000.0,48311000.0,11780000.0
KAI,2024-12-31,2025-02-25,258030000.0,24032000,1430345000.0,858128000.0,46284000.0,11794000.0
KAI,2025-03-31,2025-05-07,239210000.0,24063000,1435439000.0,886570000.0,18999000.0,11776000.0
