ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
KFY,2020-07-31,2020-09-08,346883000.0,-30833000,2618103000.0,1218021000.0,-153049000.0,53264000.0
KFY,2020-10-31,2020-12-09,437789000.0,27778000,2692642000.0,1221522000.0,45670000.0,53390000.0
KFY,2021-01-31,2021-03-11,477880000.0,51319000,2863467000.0,1294994000.0,138842000.0,53013000.0
KFY,2021-04-30,2021-06-28,557394000.0,66190000,3056526000.0,1368775000.0,188848000.0,53396000.0
KFY,2021-07-31,2021-09-08,588098000.0,74823000,2942481000.0,1421170000.0,-169555000.0,53396000.0
KFY,2021-10-31,2021-12-09,643398000.0,75772000,3117488000.0,1483889000.0,108043000.0,53401000.0
KFY,2022-01-31,2022-03-11,684956000.0,84101000,3336096000.0,1535245000.0,250330000.0,53401000.0
KFY,2022-04-30,2022-06-28,727003000.0,91664000,3464546000.0,1549589000.0,292610000.0,53401000.0
KFY,2022-07-31,2022-09-08,703148000.0,77247000,3204079000.0,1571234000.0,-248532000.0,52106000.0
KFY,2022-10-31,2022-12-09,735719000.0,73541000,3261735000.0,1582720000.0,112947000.0,52005000.0
KFY,2023-01-31,2023-03-10,686845000.0,11247000,3406188000.0,1613014000.0,174320000.0,51431000.0
KFY,2023-04-30,2023-06-28,738124000.0,47494000,3574444000.0,1653005000.0,224193000.0,51990000.0
KFY,2023-07-31,2023-09-08,706262000.0,46605000,3313468000.0,1692530000.0,-268433000.0,51082000.0
KFY,2023-10-31,2023-12-08,712447000.0,-1711000,3360961000.0,1660500000.0,94999000.0,51328000.0
KFY,2024-01-31,2024-03-08,676873000.0,59071000,3556325000.0,1707411000.0,152252000.0,51343000.0
KFY,2024-04-30,2024-06-28,699923000.0,65189000,3678869000.0,1737325000.0,244100000.0,51975000.0
KFY,2024-07-31,2024-09-06,682761000.0,62604000,3447569000.0,1759242000.0,-221296000.0,52745000.0
KFY,2024-10-31,2024-12-09,681960000.0,60800000,3526653000.0,1782865000.0,91302000.0,52750000.0
KFY,2025-01-31,2025-03-11,676538000.0,58414000,3649659000.0,1797277000.0,196352000.0,52364000.0
KFY,2025-04-30,2025-06-27,719827000.0,64244000,3861224000.0,1872139000.0,253615000.0,53365000.0
