ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
KNDI,2020-06-30,2020-08-10,19437076.0,4055046,344358145.0,234686060.0,-42439653.0,53369602.0
KNDI,2020-09-30,2020-11-09,18717218.0,-1458263,348582939.0,224966315.0,5713565.0,54112981.0
KNDI,2020-12-31,2021-03-30,32393795.0,-11416301,495249840.0,430846564.0,-45587484.0,63996380.0
KNDI,2021-03-31,2021-05-10,15977754.0,-6402720,484571960.0,432464503.0,-11883487.0,75383777.0
KNDI,2021-06-30,2021-08-09,29875835.0,40929474,503862260.0,438713655.0,-26310759.0,75510788.0
KNDI,2021-09-30,2021-11-09,16795712.0,-7868819,492742350.0,443473352.0,-14332113.0,76394573.0
KNDI,2021-12-31,2022-03-15,28837083.0,-3794137,520160272.0,447416429.0,18536967.0,77305614.0
KNDI,2022-03-31,2022-05-09,24891404.0,-1616056,509030721.0,448131071.0,5478560.0,76289846.0
KNDI,2022-06-30,2022-08-08,20841183.0,-1937271,496876597.0,426750502.0,16132686.0,75863479.0
KNDI,2022-09-30,2022-11-08,33673201.0,379019,478954736.0,406131599.0,-10062641.0,75885630.0
KNDI,2022-12-31,2023-03-16,38407261.0,-8949355,482982276.0,414032736.0,16240071.0,74247853.0
KNDI,2023-03-31,2023-05-10,22862108.0,-29110,479476509.0,417243183.0,6799481.0,75095595.0
KNDI,2023-06-30,2023-08-08,35953339.0,3728112,469506635.0,402311705.0,3100137.0,75095595.0
KNDI,2023-09-30,2023-11-08,36426201.0,868902,482642820.0,404608934.0,3653460.0,81234002.0
KNDI,2023-12-31,2024-03-14,28357584.0,-4560772,495456599.0,422842725.0,-127886226.0,79902891.0
