ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
KNWN,2020-06-30,2020-08-06,,-2905086,5039741.0,416503.0,-992469.0,592896.0
KNWN,2020-09-30,2020-12-29,0.0,-4312029,4682147.0,-1914911.0,-1304767.0,615354.0
KNWN,2020-12-31,2021-02-16,,-5299331,3223872.0,-4660822.0,-1430633.0,630218.0
KNWN,2021-03-31,2021-05-07,,-5373618,15907839.0,7413756.0,-1851687.0,667765.0
KNWN,2021-06-30,2021-08-16,,-7090863,14025775.0,5999754.0,-1909739.0,776306.0
KNWN,2021-09-30,2021-12-21,,-7596401,12889491.0,1242163.0,-1958165.0,862771.0
KNWN,2021-12-31,2022-02-15,4351400.0,-5356619,14884859.0,-3141456.0,-2293305.0,886977.0
KNWN,2022-03-31,2022-05-13,8687.0,-6140738,12662904.0,6729227.0,444330.0,946810.0
KNWN,2022-06-30,2022-08-12,,-3003286,9627478.0,4919268.0,-2685868.0,1094023.0
KNWN,2022-09-30,2022-12-20,0.0,-5570601,13758366.0,9862613.0,-3240433.0,1094023.0
KNWN,2022-12-31,2023-02-14,,-3822859,10710226.0,7006231.0,-2928263.0,1094023.0
KNWN,2023-03-31,2023-05-15,,-4930202,7139853.0,3401303.0,-3454243.0,1094023.0
KNWN,2023-06-30,2023-08-14,,-3599927,4436497.0,715413.0,-2674343.0,2027350.0
KNWN,2023-09-30,2023-12-19,,-2936179,8265897.0,3743912.0,-1377941.0,2027350.0
KNWN,2023-12-31,2024-02-14,,-3446624,5013109.0,1225889.0,-3405344.0,2027350.0
KNWN,2024-03-31,2024-05-15,,-5397664,4938148.0,-1753974.0,-3655038.0,2044153.0
KNWN,2024-06-30,2024-08-14,,-4103460,2742208.0,-4601481.0,-2579736.0,2075972.0
KNWN,2024-09-30,2024-11-14,,-3633810,3664428.0,-2156201.0,-3255586.0,2459325.0
KNWN,2024-12-31,2025-02-14,,-4665508,1547427.0,-3914900.0,,2711712.0
KNWN,2025-03-31,2025-05-06,,-3579036,924185.0,-5883549.0,,2909985.0
