ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
KOPN,2020-06-30,2020-08-06,8814646.0,-1121541,37628373.0,24059916.0,-2941047.0,82569379.0
KOPN,2020-09-30,2020-11-05,9512752.0,-957440,37659025.0,23305215.0,394693.0,82596416.0
KOPN,2020-12-31,2021-03-05,13921666.0,1263388,47549147.0,28298595.0,1610720.0,81688753.0
KOPN,2021-03-31,2021-05-06,11676369.0,-4146238,59917002.0,42190861.0,-591730.0,87378288.0
KOPN,2021-06-30,2021-08-05,9905256.0,-3848867,57824836.0,39640390.0,-5663491.0,88815356.0
KOPN,2021-09-30,2021-11-04,10887173.0,-2128790,58949402.0,42864486.0,-3673734.0,90517330.0
KOPN,2021-12-31,2022-03-14,13197320.0,-3308978,63007728.0,39626857.0,-1852330.0,95358346.0
KOPN,2022-03-31,2022-05-05,11578422.0,-1372641,60289526.0,38700747.0,-2807031.0,90121226.0
KOPN,2022-06-30,2022-08-04,11909032.0,-5646932,55571611.0,35390946.0,-9230688.0,90300999.0
KOPN,2022-09-30,2022-11-08,11729379.0,-6149174,49478306.0,30208453.0,-4183361.0,93516231.0
KOPN,2022-12-31,2023-03-14,12184357.0,-6157170,43752172.0,23990615.0,-2298882.0,91777968.0
KOPN,2023-03-31,2023-05-11,10758191.0,-2628555,59524696.0,42897477.0,-4391169.0,105036382.0
KOPN,2023-06-30,2023-08-11,10459856.0,-8180379,55364449.0,35926105.0,-3951535.0,109911244.0
KOPN,2023-09-30,2023-11-13,10598497.0,-2450313,54605346.0,34369723.0,-3927260.0,110360814.0
KOPN,2023-12-31,2024-03-14,8577633.0,-6488972,49312316.0,29508895.0,-3940200.0,110596540.0
KOPN,2024-03-31,2024-05-14,10032641.0,-32548215,51265925.0,4940025.0,-3352379.0,120114985.0
KOPN,2024-06-30,2024-08-08,12336423.0,-5921998,49048424.0,-216341.0,-3142123.0,121400739.0
KOPN,2024-09-30,2024-11-12,13319608.0,-3460342,70579507.0,22726514.0,-6466924.0,124318056.0
KOPN,2024-12-31,2025-04-17,14646495.0,-1947341,70765766.0,23281562.0,-2080478.0,165669872.0
KOPN,2025-03-31,2025-05-13,10538492.0,-3113533,65036412.0,20680994.0,-3914693.0,166118010.0
