ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
KROS,2020-06-30,2020-08-13,,-10757000,150438000.0,141361000.0,-9955000.0,17623994.0
KROS,2020-09-30,2020-11-10,,-12036000,138246000.0,130758000.0,-10886000.0,20175883.0
KROS,2020-12-31,2021-03-25,,-10676000,269443000.0,261721000.0,-8051000.0,6036320.0
KROS,2021-03-31,2021-05-06,,-15883000,257730000.0,248372000.0,-10715000.0,23229794.0
KROS,2021-06-30,2021-08-05,100000.0,-15620000,243461000.0,235656000.0,-18147000.0,23305673.0
KROS,2021-09-30,2021-11-04,,-20296000,229962000.0,218478000.0,-14586000.0,23362237.0
KROS,2021-12-31,2022-03-09,20000000.0,-6943000,255251000.0,243174000.0,-19724000.0,23437952.0
KROS,2022-03-31,2022-05-05,,-24184000,235142000.0,223494000.0,-1574000.0,23993698.0
KROS,2022-06-30,2022-08-04,,-27266000,226661000.0,211208000.0,-23157000.0,24053977.0
KROS,2022-09-30,2022-11-03,,-23509000,252550000.0,241025000.0,-24778000.0,25549701.0
KROS,2022-12-31,2023-03-03,,-29718000,306781000.0,277423000.0,-21794000.0,27366744.0
KROS,2023-03-31,2023-05-04,,-35804000,384436000.0,354984000.0,-35297000.0,28369453.0
KROS,2023-06-30,2023-08-07,,-37505000,356306000.0,326260000.0,-31143000.0,29602458.0
KROS,2023-09-30,2023-11-06,8000.0,-39440000,326247000.0,295842000.0,-34532000.0,29668247.0
KROS,2023-12-31,2024-02-28,143000.0,-40243000,370025000.0,332213000.0,-26000000.0,30148318.0
KROS,2024-03-31,2024-05-08,83000.0,-43114000,485819000.0,453947000.0,-45506000.0,35685422.0
KROS,2024-06-30,2024-08-07,37000.0,-45257000,455022000.0,420916000.0,-40111000.0,36103187.0
KROS,2024-09-30,2024-11-06,388000.0,-52956000,579271000.0,532835000.0,-30886000.0,37590727.0
KROS,2024-12-31,2025-02-26,3042000.0,-46026000,615886000.0,571553000.0,-46297000.0,40371272.0
KROS,2025-03-31,2025-05-06,211246000.0,148451000,784561000.0,728871000.0,160606000.0,41021325.0
