ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
KVHI,2020-06-30,2020-07-31,36926000.0,-3552000,189984000.0,138988000.0,-3704000.0,17648000.0
KVHI,2020-09-30,2020-10-29,41112000.0,-537000,191226000.0,140452000.0,-3199000.0,17723000.0
KVHI,2020-12-31,2021-03-03,44127000.0,-11637000,183591000.0,131884000.0,-3937000.0,17776000.0
KVHI,2021-03-31,2021-05-05,42292000.0,-4028000,178255000.0,130569000.0,-66000.0,17938000.0
KVHI,2021-06-30,2021-07-30,43363000.0,-5673000,176552000.0,126876000.0,-5540000.0,18174000.0
KVHI,2021-09-30,2021-11-04,34388000.0,4018000,170387000.0,131970000.0,-7619000.0,18566000.0
KVHI,2021-12-31,2022-03-11,35261000.0,-4080000,168794000.0,128977000.0,-2506000.0,18190000.0
KVHI,2022-03-31,2022-05-10,33151000.0,-4692000,162087000.0,125035000.0,-7885000.0,18449000.0
KVHI,2022-06-30,2022-08-09,34553000.0,-1444000,162316000.0,124028000.0,-3361000.0,18564000.0
KVHI,2022-09-30,2022-12-06,35169000.0,29646000,194272000.0,154588000.0,-1221000.0,18706000.0
KVHI,2022-12-31,2023-03-16,35877000.0,520000,196254000.0,158438000.0,6970000.0,18809000.0
KVHI,2023-03-31,2023-05-05,34143000.0,367000,190666000.0,157792000.0,-8882000.0,18882000.0
KVHI,2023-06-30,2023-08-09,33586000.0,773000,191281000.0,160704000.0,952000.0,19275000.0
KVHI,2023-09-30,2023-11-09,33195000.0,-4369000,186952000.0,157007000.0,-1918000.0,19231000.0
KVHI,2023-12-31,2024-03-15,31455000.0,-12193000,172634000.0,147372000.0,1745000.0,19254000.0
KVHI,2024-03-31,2024-05-06,29267000.0,-3163000,168362000.0,145067000.0,-3191000.0,19286000.0
KVHI,2024-06-30,2024-08-01,28673000.0,-2376000,168903000.0,143378000.0,-17371000.0,19381000.0
KVHI,2024-09-30,2024-11-07,28971000.0,-1199000,166721000.0,142698000.0,419000.0,19433000.0
KVHI,2024-12-31,2025-03-10,26917000.0,-4310000,155081000.0,138625000.0,-153000.0,19456000.0
KVHI,2025-03-31,2025-05-07,25414000.0,-1710000,151434000.0,137811000.0,-1791000.0,19492000.0
