ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
LAMR,2020-06-30,2020-08-06,347652000.0,31429000,5981581000.0,1123371000.0,137180000.0,100861881.0
LAMR,2020-09-30,2020-11-05,386110000.0,62758000,5778403000.0,1139053000.0,142421000.0,100924981.0
LAMR,2020-12-31,2021-02-26,428525000.0,108706000,5791441000.0,1202768000.0,190777000.0,100948550.0
LAMR,2021-03-31,2021-05-04,370881000.0,38329000,5650497000.0,1181507000.0,66986000.0,101138042.0
LAMR,2021-06-30,2021-08-05,445052000.0,119609000,5715298000.0,1231605000.0,176855000.0,101138042.0
LAMR,2021-09-30,2021-11-03,476894000.0,106838000,5818687000.0,1241796000.0,172880000.0,101401754.0
LAMR,2021-12-31,2022-02-25,494574000.0,123314000,6047494000.0,1217089000.0,191606000.0,101401754.0
LAMR,2022-03-31,2022-05-05,451388000.0,92151000,6093863000.0,1223861000.0,73279000.0,101468468.0
LAMR,2022-06-30,2022-08-03,517852000.0,134205000,6282037000.0,1240066000.0,163549000.0,101540213.0
LAMR,2022-09-30,2022-11-04,527390000.0,146188000,6278519000.0,1274285000.0,183469000.0,101660120.0
LAMR,2022-12-31,2023-02-24,535510000.0,66103000,6475214000.0,1195374000.0,209886000.0,101869371.0
LAMR,2023-03-31,2023-05-04,471332000.0,76041000,6441785000.0,1160687000.0,66427000.0,101963563.0
LAMR,2023-06-30,2023-08-03,541137000.0,130620000,6521044000.0,1170494000.0,147439000.0,102104429.0
LAMR,2023-09-30,2023-11-02,542609000.0,140017000,6572322000.0,1186842000.0,183402000.0,102130614.0
LAMR,2023-12-31,2024-02-23,555909000.0,149085000,6563622000.0,1216788000.0,208074000.0,102227982.0
LAMR,2024-03-31,2024-05-02,498150000.0,78224000,6525067000.0,1183637000.0,81080000.0,102447333.0
LAMR,2024-06-30,2024-08-08,565251000.0,137366000,6582421000.0,1198409000.0,233694000.0,102594217.0
LAMR,2024-09-30,2024-11-08,564135000.0,147476000,6520068000.0,1212945000.0,197253000.0,102617515.0
LAMR,2024-12-31,2025-02-20,579567000.0,-1199000,6586549000.0,1048020000.0,236299000.0,102585539.0
LAMR,2025-03-31,2025-05-08,505430000.0,138755000,6547175000.0,1031570000.0,97858000.0,102797307.0
