ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
LFUS,2020-06-30,2020-07-29,307337000.0,-8991000,2611058000.0,1462434000.0,43153000.0,24312000.0
LFUS,2020-09-30,2020-10-28,391566000.0,55356000,2654370000.0,1529562000.0,50972000.0,24573000.0
LFUS,2020-12-31,2021-02-18,400696000.0,58977000,2747593000.0,1608773000.0,83730000.0,24905000.0
LFUS,2021-03-31,2021-04-28,463794000.0,57713000,2786870000.0,1660737000.0,37998000.0,24892000.0
LFUS,2021-06-30,2021-07-28,523488000.0,82095000,2927498000.0,1742220000.0,58260000.0,24894000.0
LFUS,2021-09-30,2021-10-27,539581000.0,92054000,3038518000.0,1821398000.0,89441000.0,24926000.0
LFUS,2021-12-31,2022-02-17,553065000.0,51944000,3151704000.0,1893520000.0,112508000.0,24992000.0
LFUS,2022-03-31,2022-05-04,623330000.0,117518000,3193168000.0,2000652000.0,21943000.0,25001000.0
LFUS,2022-06-30,2022-08-03,618436000.0,87016000,3544469000.0,2051943000.0,87770000.0,24985000.0
LFUS,2022-09-30,2022-11-02,658880000.0,75468000,3777928000.0,2088891000.0,126518000.0,24988000.0
LFUS,2022-12-31,2023-02-16,613251000.0,93304000,3903734000.0,2211378000.0,79822000.0,24970000.0
LFUS,2023-03-31,2023-05-03,609782000.0,88745000,3961736000.0,2307476000.0,28479000.0,25062000.0
LFUS,2023-06-30,2023-08-02,611997000.0,70071000,3975714000.0,2357251000.0,82394000.0,25095000.0
LFUS,2023-09-30,2023-11-01,607071000.0,57788000,4002926000.0,2404859000.0,139698000.0,25143000.0
LFUS,2023-12-31,2024-02-16,533807000.0,42881000,3995275000.0,2480481000.0,121460000.0,25108000.0
LFUS,2024-03-31,2024-05-01,535385000.0,48452000,3943461000.0,2471293000.0,48667000.0,25124000.0
LFUS,2024-06-30,2024-07-31,558489000.0,45466000,3924978000.0,2465487000.0,51230000.0,25030000.0
LFUS,2024-09-30,2024-10-30,567390000.0,58058000,4062244000.0,2573100000.0,65968000.0,25025000.0
LFUS,2024-12-31,2025-03-13,529505000.0,-51786000,3891779000.0,2413612000.0,136715000.0,24977000.0
LFUS,2025-03-31,2025-04-30,554307000.0,43571000,3888235000.0,2456755000.0,42667000.0,24963000.0
