ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
LKQ,2020-06-30,2020-08-04,2626323000.0,118792000,12035299000.0,5172018000.0,686308000.0,304190000.0
LKQ,2020-09-30,2020-11-03,3047684000.0,193483000,12161212000.0,5439663000.0,195768000.0,304566000.0
LKQ,2020-12-31,2021-02-26,2954058000.0,180589000,12360533000.0,5695377000.0,250371000.0,304511000.0
LKQ,2021-03-31,2021-05-05,3171000000.0,266000000,12665457000.0,5882704000.0,489000000.0,303765000.0
LKQ,2021-06-30,2021-08-04,3435000000.0,305000000,12438059000.0,5918086000.0,368000000.0,301368000.0
LKQ,2021-09-30,2021-11-03,3297000000.0,284000000,12460860000.0,5941934000.0,388000000.0,294885000.0
LKQ,2021-12-31,2022-02-25,3186000000.0,236000000,12606000000.0,5811000000.0,-151000000.0,279522000.0
LKQ,2022-03-31,2022-05-04,3348000000.0,273000000,12778000000.0,5823000000.0,352000000.0,290950000.0
LKQ,2022-06-30,2022-08-02,3341000000.0,420000000,12134000000.0,5629000000.0,289000000.0,282300000.0
LKQ,2022-09-30,2022-11-01,3104000000.0,262000000,11666000000.0,5301000000.0,226000000.0,274600000.0
LKQ,2022-12-31,2023-02-23,3001000000.0,194000000,12038000000.0,5491000000.0,161000000.0,372174000.0
LKQ,2023-03-31,2023-04-27,3349000000.0,270000000,12508000000.0,5729000000.0,153000000.0,268300000.0
LKQ,2023-06-30,2023-07-27,3448000000.0,281000000,14155000000.0,5992000000.0,414000000.0,268200000.0
LKQ,2023-09-30,2023-10-27,3568000000.0,206000000,15168000000.0,5997000000.0,344000000.0,268400000.0
LKQ,2023-12-31,2024-02-22,2904000000.0,141000000,15079000000.0,6181000000.0,87000000.0,268300000.0
LKQ,2024-03-31,2024-04-23,3703000000.0,162000000,15270000000.0,6173000000.0,187000000.0,267700000.0
LKQ,2024-06-30,2024-07-25,3711000000.0,181000000,15211000000.0,6144000000.0,133000000.0,265600000.0
LKQ,2024-09-30,2024-10-24,3453000000.0,187000000,15466000000.0,6250000000.0,341000000.0,262600000.0
LKQ,2024-12-31,2025-02-20,3226000000.0,94000000,14955000000.0,6032000000.0,149000000.0,259700000.0
LKQ,2025-03-31,2025-04-24,3463000000.0,171000000,15469000000.0,6189000000.0,-57000000.0,259600000.0
