ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
LPSN,2020-06-30,2020-08-07,91603000.0,-18627000,518157000.0,143314000.0,-5216000.0,4378907.0
LPSN,2020-09-30,2020-11-09,94804000.0,-38710000,528325000.0,123695000.0,15445000.0,4432309.0
LPSN,2020-12-31,2021-03-08,102125000.0,-13256000,1006432000.0,243934000.0,-13363000.0,4473086.0
LPSN,2021-03-31,2021-05-07,107891000.0,-21195000,1044537000.0,260017000.0,13792000.0,4529051.0
LPSN,2021-06-30,2021-08-04,119605000.0,-21119000,1043757000.0,261692000.0,-7725000.0,4529051.0
LPSN,2021-09-30,2021-11-03,118327000.0,-32807000,1068909000.0,262109000.0,-6177000.0,4655583.0
LPSN,2021-12-31,2022-02-28,123801000.0,-49853000,1186656000.0,349437000.0,-44956000.0,4655583.0
LPSN,2022-03-31,2022-05-10,130197000.0,-65364000,1204073000.0,180346000.0,-36745000.0,4775819.0
LPSN,2022-06-30,2022-08-09,132565000.0,-75411000,1154673000.0,120755000.0,-53948000.0,5155274.0
LPSN,2022-09-30,2022-11-08,129561000.0,-43248000,1097078000.0,89511000.0,-25384000.0,5188216.0
LPSN,2022-12-31,2023-03-16,122477000.0,-41724000,1088940000.0,68088000.0,2810000.0,4759801.0
LPSN,2023-03-31,2023-05-11,107661000.0,-17420000,957517000.0,65004000.0,-17428000.0,5054180.0
LPSN,2023-06-30,2023-08-09,97522000.0,10822000,898287000.0,90145000.0,-32575000.0,6103054.0
LPSN,2023-09-30,2023-11-09,101332000.0,-53312000,873445000.0,45081000.0,19000.0,5202948.0
LPSN,2023-12-31,2024-03-04,95468000.0,-40525000,835513000.0,48138000.0,-2442000.0,5582167.0
LPSN,2024-03-31,2024-05-10,85149000.0,-35631000,724688000.0,19183000.0,-9241000.0,6334350.0
LPSN,2024-06-30,2024-08-07,79875000.0,41795000,703768000.0,66606000.0,-25314000.0,6335048.0
LPSN,2024-09-30,2024-11-08,74244000.0,-28309000,692026000.0,45906000.0,-965000.0,5970658.0
LPSN,2024-12-31,2025-03-14,73206000.0,-112128000,607778000.0,-67316000.0,-7826000.0,5906643.0
LPSN,2025-03-31,2025-05-08,64700000.0,-14133000,596220000.0,-74944000.0,-8903000.0,6356839.0
