ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
LPTX,2020-06-30,2020-08-13,375000.0,-6516000,67673000.0,59733000.0,-9476000.0,5244260.0
LPTX,2020-09-30,2020-11-12,375000.0,-7057000,60544000.0,53138000.0,-6592000.0,7632164.0
LPTX,2020-12-31,2021-03-12,375000.0,-6710000,54371000.0,46651000.0,-5988000.0,7691440.0
LPTX,2021-03-31,2021-05-14,,28043000,45807000.0,38379000.0,,7637857.0
LPTX,2021-06-30,2021-08-13,375000.0,-9526000,37940000.0,29884000.0,,7638953.0
LPTX,2021-09-30,2021-11-12,375000.0,-11139000,128080000.0,116819000.0,,7821877.0
LPTX,2021-12-31,2022-03-11,,43658000,117911000.0,107887000.0,,11231426.0
LPTX,2022-03-31,2022-05-13,,-10376000,105901000.0,98557000.0,,11324894.0
LPTX,2022-06-30,2022-08-12,,-17024000,94203000.0,83318000.0,,11324894.0
LPTX,2022-09-30,2022-11-14,,-15094000,82165000.0,70073000.0,,11323909.0
LPTX,2022-12-31,2023-03-24,,-12102000,70353000.0,58866000.0,,11321940.0
LPTX,2023-03-31,2023-05-15,,-41863000,106547000.0,96044000.0,,12934427.0
LPTX,2023-06-30,2023-08-14,,-13390000,95857000.0,84057000.0,,14710375.0
LPTX,2023-09-30,2023-11-13,,-13696000,83046000.0,72008000.0,,26987182.0
LPTX,2023-12-31,2024-03-18,,-12465000,72825000.0,60141000.0,,27148452.0
LPTX,2024-03-31,2024-05-13,,-13820000,57963000.0,47372000.0,,27014100.0
LPTX,2024-06-30,2024-08-12,,-20128000,81426000.0,65788000.0,,39122662.0
LPTX,2024-09-30,2024-11-13,,-18176000,65047000.0,48954000.0,,41209639.0
LPTX,2024-12-31,2025-03-26,,-15431000,49124000.0,35048000.0,,42856307.0
LPTX,2025-03-31,2025-05-13,,-15435000,34879000.0,20840000.0,,41268894.0
