ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
LQDT,2020-06-30,2020-08-06,47722000.0,213000,198864000.0,110238000.0,20570000.0,33815332.0
LQDT,2020-09-30,2020-12-08,55890000.0,5447000,196634000.0,111815000.0,6705000.0,33463596.0
LQDT,2020-12-31,2021-02-04,55751000.0,4514000,205254000.0,115063000.0,4684000.0,34911119.0
LQDT,2021-03-31,2021-05-06,61786000.0,5260000,217583000.0,106938000.0,24227000.0,35559747.0
LQDT,2021-06-30,2021-08-05,69666000.0,8419000,238403000.0,116561000.0,21917000.0,34914549.0
LQDT,2021-09-30,2021-12-09,70327000.0,32756000,255576000.0,135015000.0,9170000.0,35559747.0
LQDT,2021-12-31,2022-02-03,66707000.0,3602000,286878000.0,137079000.0,-93000.0,35559747.0
LQDT,2022-03-31,2022-05-05,68275000.0,11970000,276819000.0,132989000.0,11148000.0,34868869.0
LQDT,2022-06-30,2022-08-04,69866000.0,16408000,282810000.0,144669000.0,13790000.0,33078568.0
LQDT,2022-09-30,2022-12-08,75202000.0,8345000,288104000.0,154536000.0,11867000.0,31370512.0
LQDT,2022-12-31,2023-02-02,72282000.0,3967000,269201000.0,154953000.0,-11873000.0,32937600.0
LQDT,2023-03-31,2023-05-04,81453000.0,4245000,283097000.0,151074000.0,31497000.0,32124188.0
LQDT,2023-06-30,2023-08-03,80770000.0,6487000,283027000.0,155809000.0,8827000.0,31513488.0
LQDT,2023-09-30,2023-12-07,79957000.0,6279000,288969000.0,161535000.0,13179000.0,128201668724.0
LQDT,2023-12-31,2024-02-08,71325000.0,1907000,278425000.0,165379000.0,-10604000.0,31938342.0
LQDT,2024-03-31,2024-05-09,91453000.0,5709000,303651000.0,163925000.0,32469000.0,31459066.0
LQDT,2024-06-30,2024-08-08,93613000.0,6000000,325538000.0,171970000.0,20285000.0,31464461.0
LQDT,2024-09-30,2024-12-12,106927000.0,6373000,346888000.0,182560000.0,19164000.0,31674899.0
LQDT,2024-12-31,2025-02-06,122331000.0,5810000,333206000.0,189161000.0,-13958000.0,32204055.0
LQDT,2025-03-31,2025-05-08,116375000.0,7051000,358795000.0,196325000.0,19779000.0,32518672.0
