ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
M,2020-07-31,2020-08-03,3727000000.0,-431000000,17614000000.0,2324000000.0,,311200000.0
M,2020-10-31,2020-12-08,4185000000.0,-91000000,19214000000.0,2243000000.0,197000000.0,311200000.0
M,2021-01-31,2021-03-29,7037000000.0,160000000,17706000000.0,2553000000.0,379000000.0,311400000.0
M,2021-04-30,2021-06-07,4865000000.0,103000000,18082000000.0,2675000000.0,441000000.0,318600000.0
M,2021-07-31,2021-09-03,5844000000.0,345000000,18417000000.0,3146000000.0,416000000.0,318600000.0
M,2021-10-31,2021-12-07,5653000000.0,239000000,18279000000.0,3008000000.0,-128000000.0,311100000.0
M,2022-01-31,2022-03-25,9037000000.0,743000000,17590000000.0,3621000000.0,1793000000.0,311100000.0
M,2022-04-30,2022-06-07,5565000000.0,286000000,16972000000.0,3278000000.0,150000000.0,304800000.0
M,2022-07-31,2022-08-26,5834000000.0,275000000,16342000000.0,3531000000.0,-152000000.0,304800000.0
M,2022-10-31,2022-11-30,5467000000.0,108000000,18230000000.0,3475000000.0,-43000000.0,277400000.0
M,2023-01-31,2023-03-24,8583000000.0,478000000,16866000000.0,4082000000.0,909000000.0,237400000.0
M,2023-04-30,2023-06-06,5173000000.0,155000000,16868000000.0,4170000000.0,-85000000.0,277800000.0
M,2023-07-31,2023-08-25,5280000000.0,-22000000,16304000000.0,4210000000.0,-2000000.0,273800000.0
M,2023-10-31,2023-11-28,5038000000.0,41000000,18126000000.0,4099000000.0,-204000000.0,277600000.0
M,2024-01-31,2024-03-22,8375000000.0,-128000000,16246000000.0,4035000000.0,1051000000.0,283600000.0
M,2024-04-30,2024-05-30,5000000000.0,62000000,16449000000.0,4084000000.0,-21000000.0,281000000.0
M,2024-07-31,2024-09-04,5096000000.0,150000000,15868000000.0,4201000000.0,-62000000.0,281600000.0
M,2024-10-31,2024-12-12,4903000000.0,28000000,17293000000.0,4147000000.0,-175000000.0,281500000.0
M,2025-01-31,2025-03-21,8007000000.0,342000000,16402000000.0,4552000000.0,1285000000.0,282300000.0
M,2025-04-30,2025-06-05,4793000000.0,38000000,16089000000.0,4451000000.0,-126000000.0,280700000.0
