ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
MARA,2021-09-30,2021-11-14,51707483.0,-22172567,664340598.0,660416428.0,-209042689.0,100803809.0
MARA,2021-12-31,2022-02-14,68980845.0,17887445,1444331000.0,682100000.0,-461241659.0,102620749.0
MARA,2022-03-31,2022-05-10,51723000.0,-12851000,1538100247.0,774113320.0,-224987000.0,100803809.0
MARA,2022-06-30,2022-08-08,24923000.0,-212626000,1509577557.0,659447999.0,-296433000.0,109437293.0
MARA,2022-09-30,2022-11-14,12690000.0,-72462000,1475777433.0,625101962.0,-224294000.0,116533816.0
MARA,2022-12-31,2023-03-16,28417000.0,-391598000,1195244000.0,385941000.0,-251569000.0,127096430.0
MARA,2023-03-31,2023-05-10,51132000.0,118699000,1303932000.0,545869000.0,-120293000.0,168999461.0
MARA,2023-06-30,2023-08-08,81759000.0,-19133000,1373237000.0,610246000.0,-209561000.0,168474882.0
MARA,2023-09-30,2023-11-08,97849000.0,64137000,1383780000.0,1019953000.0,-223525000.0,189506521000.0
MARA,2023-12-31,2024-02-28,156768000.0,223404000,1990973000.0,1615921000.0,-425936000.0,267912443.0
MARA,2024-03-31,2024-05-09,165198000.0,337173000,2956987000.0,2476893000.0,-322594000.0,267912443.0
