ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
MAT,2020-06-30,2020-08-10,732136000.0,-111109000,4998705000.0,106100000.0,-313137000.0,346875000.0
MAT,2020-09-30,2020-11-03,1636464000.0,311338000,5613491000.0,419803000.0,-659000.0,348714000.0
MAT,2020-12-31,2021-02-25,1625763000.0,129052000,5534890000.0,610144000.0,695571000.0,354008000.0
MAT,2021-03-31,2021-04-29,874192000.0,-112385000,5118950000.0,490565000.0,-39786000.0,349041000.0
MAT,2021-06-30,2021-08-09,1026366000.0,-5537000,5241058000.0,527719000.0,-241305000.0,349041000.0
MAT,2021-09-30,2021-11-04,1762293000.0,795076000,6263035000.0,1313678000.0,-54639000.0,354178000.0
MAT,2021-12-31,2022-02-28,1794890000.0,225833000,6393894000.0,1568849000.0,705365000.0,354178000.0
MAT,2022-03-31,2022-05-03,1041301000.0,21454000,6147367000.0,1618067000.0,-179481000.0,358100000.0
MAT,2022-06-30,2022-08-09,1235687000.0,66440000,6167733000.0,1728049000.0,-299331000.0,359003000.0
MAT,2022-09-30,2022-11-01,1755780000.0,289882000,6468175000.0,1967464000.0,102556000.0,359003000.0
MAT,2022-12-31,2023-02-22,1401920000.0,16137000,6177661000.0,2056269000.0,670743000.0,320294000.0
MAT,2023-03-31,2023-05-02,814579000.0,-106471000,5831738000.0,1937661000.0,-234633000.0,359231000.0
MAT,2023-06-30,2023-08-01,1087164000.0,27187000,5897844000.0,1962374000.0,-117576000.0,357200000.0
MAT,2023-09-30,2023-11-09,1918788000.0,146319000,6244554000.0,2035466000.0,185107000.0,357500000.0
MAT,2023-12-31,2024-03-15,1620688000.0,147318000,6435822000.0,2149213000.0,876593000.0,354517000.0
MAT,2024-03-31,2024-04-30,809508000.0,-28281000,6065372000.0,2025312000.0,15490000.0,350309000.0
MAT,2024-06-30,2024-07-30,1079728000.0,56860000,5905820000.0,1973133000.0,-283270000.0,344409000.0
MAT,2024-09-30,2024-10-30,1843904000.0,372376000,6513733000.0,2312946000.0,92066000.0,341216000.0
MAT,2024-12-31,2025-02-26,1646405000.0,140862000,6544084000.0,2264125000.0,773660000.0,337204000.0
MAT,2025-03-31,2025-05-06,826629000.0,-40319000,6206440000.0,2129580000.0,13721000.0,331476000.0
