ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
MCAD,2021-03-31,2021-05-24,,-5330000,58024919.0,55944086.0,,7557500.0
MCAD,2021-06-30,2021-08-20,,-8650000,57901100.0,55780267.0,,7557500.0
MCAD,2021-09-30,2021-11-23,,-12461000,57798391.0,55541323.0,-6886000.0,7557500.0
MCAD,2021-12-31,2022-03-28,,-13894000,50958000.0,36720000.0,-15888000.0,7557500.0
MCAD,2022-03-31,2022-05-13,,-9662000,40291000.0,27425000.0,-8894000.0,7557500.0
MCAD,2022-06-30,2022-08-11,,-9928000,37103000.0,18054000.0,-6756000.0,7557500.0
MCAD,2022-09-30,2022-11-14,,-11405000,28221000.0,7252000.0,-7035000.0,7557500.0
MCAD,2022-12-31,2023-03-30,,-8765000,22943000.0,-899000.0,-6351000.0,7557500.0
MCAD,2023-03-31,2023-05-11,,-9357000,12808000.0,-9833000.0,-8742000.0,7557500.0
MCAD,2023-06-30,2023-08-09,,-7589000,11604000.0,-10788000.0,-5087000.0,7557500.0
MCAD,2023-09-30,2023-11-09,,-5862000,10722000.0,-9937000.0,-5948000.0,7557500.0
